SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_dDeg,Lon_dDeg,Vessel
"S2023-05","2023","5","AlongBay_3","AlongBay","3","2023-05-12","13:48","","","Phytoplankton","59.5255166666666667","-151.6492666666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_2","AlongBay","2","2023-05-12","14:04","13","122","CTD","59.5169166666666667","-151.7259833333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_1","AlongBay","1","2023-05-12","14:28","14","71","CTD","59.4993666666666667","-151.8851","Edgecombe"
"S2023-05","2023","5","AlongBay_POGI","AlongBay","POGI","2023-05-12","14:51","15","93","CTD","59.44905","-151.9963","Edgecombe"
"S2023-05","2023","5","AlongBay_PTGR","AlongBay","PTGR","2023-05-12","15:09","16","61","CTD","59.3916166666666667","-152.0401833333333333","Edgecombe"
"S2023-05","2023","5","7_22","7","22","2023-05-12","15:29","17","74","CTD","59.3105333333333333","-152.06445","Edgecombe"
"S2023-05","2023","5","6_3","6","3","2023-05-12","15:56","18","106","CTD","59.1968","-151.9809","Edgecombe"
"S2023-05","2023","5","4_10","4","10","2023-05-13","10:35","19","18","CTD","59.6327333333333333","-151.6497833333333333","Edgecombe"
"S2023-05","2023","5","4_10","4","10","2023-05-13","10:38","20","18","CTD","59.6327333333333333","-151.6497833333333333","Edgecombe"
"S2023-05","2023","5","4_9","4","9","2023-05-13","10:44","21","28","CTD","59.62515","-151.6502","Edgecombe"
"S2023-05","2023","5","4_8","4","8","2023-05-13","10:53","22","30","CTD","59.6078","-151.6489166666666667","Edgecombe"
"S2023-05","2023","5","4_7","4","7","2023-05-13","11:02","23","37","CTD","59.5920666666666667","-151.6498","Edgecombe"
"S2023-05","2023","5","4_6","4","6","2023-05-13","11:11","24","64","CTD","59.5749","-151.6507333333333333","Edgecombe"
"S2023-05","2023","5","4_5","4","5","2023-05-13","11:22","25","80.5","CTD","59.5587666666666667","-151.65085","Edgecombe"
"S2023-05","2023","5","4_4","4","4","2023-05-13","11:33","26","89","CTD","59.5418666666666667","-151.65165","Edgecombe"
"S2023-05","2023","5","4_3","4","3","2023-05-13","11:43","27","110","CTD","59.5250666666666667","-151.6503666666666667","Edgecombe"
"S2023-05","2023","5","4_2","4","2","2023-05-13","11:54","28","99","CTD","59.5250666666666667","-151.6515333333333333","Edgecombe"
"S2023-05","2023","5","4_1","4","1","2023-05-13","12:04","29","19","CTD","59.4913833333333333","-151.6506666666666667","Edgecombe"
"S2023-05","2023","5","9_1","9","1","2023-05-13","12:38","30","65","CTD","59.5700833333333333","-151.3585333333333333","Edgecombe"
"S2023-05","2023","5","9_2","9","2","2023-05-13","12:44","31","77","CTD","59.5719333333333333","-151.3628333333333333","Edgecombe"
"S2023-05","2023","5","9_3","9","3","2023-05-13","12:51","32","93","CTD","59.5745166666666667","-151.3692833333333333","Edgecombe"
"S2023-05","2023","5","9_4","9","4","2023-05-13","12:58","33","95","CTD","59.5770166666666667","-151.3744333333333333","Edgecombe"
"S2023-05","2023","5","9_5","9","5","2023-05-13","13:06","34","98","CTD","59.5799666666666667","-151.3804666666666667","Edgecombe"
"S2023-05","2023","5","9_6","9","6","2023-05-13","13:14","35","101","CTD","59.58295","-151.3863166666666667","Edgecombe"
"S2023-05","2023","5","9_7","9","7","2023-05-13","13:21","36","100","CTD","59.5863666666666667","-151.3902166666666667","Edgecombe"
"S2023-05","2023","5","9_8","9","8","2023-05-13","13:28","37","93","CTD","59.5896","-151.3947833333333333","Edgecombe"
"S2023-05","2023","5","9_9","9","9","2023-05-13","13:36","38","80","CTD","59.5931666666666667","-151.3997666666666667","Edgecombe"
"S2023-05","2023","5","9_10","9","10","2023-05-13","13:42","39","61","CTD","59.59615","-151.4038166666666667","Edgecombe"
