"ID","SampleEvent","AlternateId","Classification","Species","RTotal","RC1","RC2","RC3","RC4","RFC4","RMC4","RC5","RFC5","RMC5","RFA","RMA","RUnknown","Flow","Split"
445,57,"3_13_B_050212","Copepod","Calanus marshallae",4.00,,,1.00,,1.00,,,,,2.00,,"",50.00,2.00
446,57,"3_13_B_050212","Copepod","Neocalanus plumchrus",9.00,,,,,8.00,,,1.00,,,,"",50.00,2.00
447,57,"3_13_B_050212","Copepod","Acartia tumida",1.00,,,,,,,,,,,1.00,"",50.00,2.00
448,57,"3_13_B_050212","Copepod","Sapphrina spp.",1.00,,,,,,,,,,,1.00,"",50.00,2.00
449,57,"3_13_B_050212","Unknown","Egg",55.00,,,,,,,,,,,,"",50.00,2.00
450,57,"3_13_B_050212","Crustecean","Nauplii",3.00,,,,,,,,,,,,"",50.00,2.00
451,57,"3_13_B_050212","Barnacle","Barnacle nauplii",737.00,,,,,,,,,,,,"",50.00,2.00
452,57,"3_13_B_050212","Fish","Fish egg",4.00,,,,,,,,,,,,"",50.00,2.00
453,57,"3_13_B_050212","Annelid","Spionidae",29.00,,,,,,,,,,,,"",50.00,2.00
454,57,"3_13_B_050212","Ostracod","Cypris",71.00,,,,,,,,,,,,"",50.00,2.00
455,57,"3_13_B_050212","Amphipod","Gammarid amphipod",3.00,,,,,,,,,,,,"",50.00,2.00
456,57,"3_13_B_050212","Gastropod","Limacina",5.00,,,,,,,,,,,,"",50.00,2.00
457,57,"3_13_B_050212","Amphipod","Apherusa glacialis",14.00,,,,,,,,,,,,"",50.00,2.00
458,57,"3_13_B_050212","Decapod","Zoea",9.00,,,,,,,,,,,,"",50.00,2.00
459,57,"3_13_B_050212","Isopod","Idotea",1.00,,,,,,,,,,,,"",50.00,2.00
460,57,"3_13_B_050212","Annelid","Polychaete trochophore",5.00,,,,,,,,,,,,"",50.00,2.00
461,57,"3_13_B_050212","Ostracod","Ostracod",2.00,,,,,,,,,,,,"",50.00,2.00
462,57,"3_13_B_050212","Gastropod","Limacina",2.00,,,,,,,,,,,,"",50.00,2.00
463,57,"3_13_B_050212","Bivalve","Clam larvae",1.00,,,,,,,,,,,,"",50.00,2.00
464,57,"3_13_B_050212","Annelid","Bathypolaris carinata",1.00,,,,,,,,,,,,"",50.00,2.00
465,57,"3_13_B_050212","Cumacean","Cumacea",1.00,,,,,,,,,,,,"",50.00,2.00
466,57,"3_13_B_050212","Branchiopod","Evadne",1.00,,,,,,,,,,,,"",50.00,2.00
467,177,"6_5_B_050312","Copepod","Pseudocalanus",152.00,,,3.00,,17.00,10.00,,51.00,29.00,32.00,10.00,"",50.00,5.33
468,177,"6_5_B_050312","Copepod","Oithona similis",4.00,,,,,,,,,,4.00,,"",50.00,5.33
469,177,"6_5_B_050312","Copepod","Neocalanus plumchrus",155.00,11,25.00,18.00,,43.00,8.00,,36.00,5.00,8.00,1.00,"",50.00,5.33
470,177,"6_5_B_050312","Copepod","Acartia longerimis",66.00,,,1.00,,3.00,3.00,,11.00,3.00,30.00,15.00,"",50.00,5.33
471,177,"6_5_B_050312","Copepod","Neocalanus flemingeri",4.00,,,1.00,,,,,3.00,,,,"",50.00,5.33
472,177,"6_5_B_050312","Copepod","Paracalanus spp.",1.00,,,,,,,,1.00,,,,"",50.00,5.33
473,177,"6_5_B_050312","Unknown","Egg",89.00,,,,,,,,,,,,"",50.00,5.33
474,177,"6_5_B_050312","Crustecean","Nauplii",35.00,,,,,,,,,,,,"",50.00,5.33
475,177,"6_5_B_050312","Barnacle","Barnacle nauplii",45.00,,,,,,,,,,,,"",50.00,5.33
476,177,"6_5_B_050312","Branchiopod","Evadne",1.00,,,,,,,,,,,,"",50.00,5.33
477,177,"6_5_B_050312","Euphausid","Calytopsis",43.00,,,,,,,,,,,,"",50.00,5.33
478,177,"6_5_B_050312","Decapod","Zoea",5.00,,,,,,,,,,,,"",50.00,5.33
479,177,"6_5_B_050312","Annelid","Spionidae",1.00,,,,,,,,,,,,"",50.00,5.33
480,177,"6_5_B_050312","Tunicate","Oikopleura dioica",5.00,,,,,,,,,,,,"",50.00,5.33
481,177,"6_5_B_050312","Chaetognath","Parasagitta elegans",1.00,,,,,,,,,,,,"",50.00,5.33
482,177,"6_5_B_050312","Annelid","Polychaete trochophore",1.00,,,,,,,,,,,,"",50.00,5.33
483,177,"6_5_B_050312","Gastropod","Limacina",9.00,,,,,,,,,,,,"",50.00,5.33
484,177,"6_5_B_050312","Ostracod","Cypris",1.00,,,,,,,,,,,,"",50.00,5.33
485,177,"6_5_B_050312","Branchiopod","Podon",1.00,,,,,,,,,,,,"",50.00,5.33
486,186,"6_11_050312","Copepod","Pseudocalanus",88.00,,1.00,3.00,,9.00,14.00,,16.00,25.00,12.00,8.00,"",50.00,8.00
487,186,"6_11_050312","Copepod","Neocalanus plumchrus",145.00,9,13.00,9.00,,20.00,1.00,,89.00,4.00,,,"",50.00,8.00
488,186,"6_11_050312","Copepod","Acartia longerimis",6.00,,,,,,1.00,,2.00,,2.00,1.00,"",50.00,8.00
489,186,"6_11_050312","Copepod","Oithona similis",2.00,,,,,,,,,,2.00,,"",50.00,8.00
490,186,"6_11_050312","Copepod","Neocalanus flemingeri",17.00,,,,,7.00,,,10.00,,,,"",50.00,8.00
491,186,"6_11_050312","Copepod","Metridia pacifica",3.00,,,2.00,,,,,,1.00,,,"",50.00,8.00
492,186,"6_11_050312","Copepod","Oithona atlantica",1.00,,,,,,,,,,1.00,,"",50.00,8.00
493,186,"6_11_050312","Unknown","Egg",182.00,,,,,,,,,,,,"",50.00,8.00
494,186,"6_11_050312","Crustecean","Nauplii",43.00,,,,,,,,,,,,"",50.00,8.00
495,186,"6_11_050312","Barnacle","Barnacle nauplii",17.00,,,,,,,,,,,,"",50.00,8.00
496,186,"6_11_050312","Euphausid","Calytopsis",41.00,,,,,,,,,,,,"",50.00,8.00
497,186,"6_11_050312","Tunicate","Fritillaria borealis",1.00,,,,,,,,,,,,"",50.00,8.00
498,186,"6_11_050312","Annelid","Spionidae",1.00,,,,,,,,,,,,"",50.00,8.00
499,186,"6_11_050312","Chaetognath","Parasagitta elegans",2.00,,,,,,,,,,,,"",50.00,8.00
500,186,"6_11_050312","Branchiopod","Evadne",1.00,,,,,,,,,,,,"",50.00,8.00
501,186,"6_11_050312","Tunicate","Oikopleura dioica",2.00,,,,,,,,,,,,"",50.00,8.00
502,117,"4_4_A_050212","Copepod","Pseudocalanus",85.00,,,9.00,,12.00,8.00,,26.00,12.00,15.00,3.00,"",50.00,2.00
503,117,"4_4_A_050212","Copepod","Neocalanus plumchrus",43.00,4,2.00,5.00,,29.00,1.00,,1.00,1.00,,,"",50.00,2.00
504,117,"4_4_A_050212","Copepod","Acartia longerimis",36.00,,,,,1.00,3.00,,13.00,9.00,4.00,6.00,"",50.00,2.00
505,117,"4_4_A_050212","Copepod","Neocalanus flemingeri",4.00,,,2.00,,2.00,,,,,,,"",50.00,2.00
506,117,"4_4_A_050212","Copepod","Microcalanus spp.",2.00,,,,,,,,,1.00,1.00,,"",50.00,2.00
507,117,"4_4_A_050212","Copepod","Oithona atlantica",1.00,,,,,,,,1.00,,,,"",50.00,2.00
508,117,"4_4_A_050212","Copepod","Metridia pacifica",3.00,,2.00,,,,1.00,,,,,,"",50.00,2.00
509,117,"4_4_A_050212","Copepod","Oithona similis",1.00,,,,,,,,,,,1.00,"",50.00,2.00
510,117,"4_4_A_050212","Unknown","Egg",234.00,,,,,,,,,,,,"",50.00,2.00
511,117,"4_4_A_050212","Crustecean","Nauplii",177.00,,,,,,,,,,,,"",50.00,2.00
512,117,"4_4_A_050212","Barnacle","Barnacle nauplii",238.00,,,,,,,,,,,,"",50.00,2.00
513,117,"4_4_A_050212","Ostracod","Cypris",71.00,,,,,,,,,,,,"",50.00,2.00
514,117,"4_4_A_050212","Annelid","Spionidae",52.00,,,,,,,,,,,,"",50.00,2.00
515,117,"4_4_A_050212","Euphausid","Calytopsis",5.00,,,,,,,,,,,,"",50.00,2.00
516,117,"4_4_A_050212","Gastropod","Limacina",15.00,,,,,,,,,,,,"",50.00,2.00
517,117,"4_4_A_050212","Tunicate","Fritillaria borealis",1.00,,,,,,,,,,,,"",50.00,2.00
518,117,"4_4_A_050212","Chaetognath","Parasagitta elegans",2.00,,,,,,,,,,,,"",50.00,2.00
519,117,"4_4_A_050212","Decapod","Shrimp zoea",1.00,,,,,,,,,,,,"",50.00,2.00
520,117,"4_4_A_050212","Isopod","Idotea",1.00,,,,,,,,,,,,"",50.00,2.00
521,117,"4_4_A_050212","Annelid","Polychaete trochophore",8.00,,,,,,,,,,,,"",50.00,2.00
522,117,"4_4_A_050212","Decapod","Crab zoea",1.00,,,,,,,,,,,,"",50.00,2.00
523,117,"4_4_A_050212","Branchiopod","Evadne",1.00,,,,,,,,,,,,"",50.00,2.00
524,114,"4_2_A_050212","Copepod","Pseudocalanus",45.00,,,1.00,,10.00,6.00,,10.00,10.00,5.00,3.00,"",50.00,2.00
525,114,"4_2_A_050212","Copepod","Acartia longerimis",16.00,,1.00,,,1.00,,,3.00,4.00,1.00,6.00,"",50.00,2.00
526,114,"4_2_A_050212","Copepod","Neocalanus plumchrus",6.00,1,,,,4.00,,,1.00,,,,"",50.00,2.00
527,114,"4_2_A_050212","Copepod","Metridia pacifica",2.00,,1.00,1.00,,,,,,,,,"",50.00,2.00
528,114,"4_2_A_050212","Copepod","Microcalanus spp.",1.00,,,,,,,,,1.00,,,"",50.00,2.00
529,114,"4_2_A_050212","Euphausid","Calytopsis",12.00,,,,,,,,,,,,"",50.00,2.00
530,114,"4_2_A_050212","Decapod","Crab zoea",1.00,,,,,,,,,,,,"",50.00,2.00
531,114,"4_2_A_050212","Gastropod","Limacina",5.00,,,,,,,,,,,,"",50.00,2.00
532,114,"4_2_A_050212","Annelid","Polychaete trochophore",4.00,,,,,,,,,,,,"",50.00,2.00
533,114,"4_2_A_050212","Isopod","Idotea",1.00,,,,,,,,,,,,"",50.00,2.00
534,114,"4_2_A_050212","Amphipod","Gammarid amphipod",1.00,,,,,,,,,,,,"",50.00,2.00
535,114,"4_2_A_050212","Annelid","Autolytus",1.00,,,,,,,,,,,,"",50.00,2.00
536,114,"4_2_A_050212","Tunicate","Fritillaria borealis",1.00,,,,,,,,,,,,"",50.00,2.00
537,114,"4_2_A_050212","Unknown","Egg",53.00,,,,,,,,,,,,"",50.00,2.00
538,114,"4_2_A_050212","Crustecean","Nauplii",23.00,,,,,,,,,,,,"",50.00,2.00
539,114,"4_2_A_050212","Barnacle","Barnacle nauplii",267.00,,,,,,,,,,,,"",50.00,2.00
540,114,"4_2_A_050212","Ostracod","Cypris",48.00,,,,,,,,,,,,"",50.00,2.00
541,114,"4_2_A_050212","Annelid","Spionidae",48.00,,,,,,,,,,,,"",50.00,2.00
542,202,"6_25_A_050312","Copepod","Pseudocalanus",96.00,,,,,10.00,7.00,,19.00,33.00,18.00,9.00,"",50.00,2.00
543,202,"6_25_A_050312","Copepod","Neocalanus plumchrus",63.00,3,5.00,2.00,,14.00,,,38.00,1.00,,,"",50.00,2.00
544,202,"6_25_A_050312","Copepod","Acartia longerimis",37.00,,,,,,,,10.00,6.00,13.00,8.00,"",50.00,2.00
545,202,"6_25_A_050312","Copepod","Metridia pacifica",4.00,,,,,,,,1.00,,3.00,,"",50.00,2.00
546,202,"6_25_A_050312","Copepod","Oithona similis",1.00,,,,,,,,1.00,,,,"",50.00,2.00
547,202,"6_25_A_050312","Copepod","Acartia tumida",2.00,,,,,,,,,,1.00,1.00,"",50.00,2.00
548,202,"6_25_A_050312","Tunicate","Fritillaria borealis",49.00,,,,,,,,,,,,"",50.00,2.00
549,202,"6_25_A_050312","Euphausid","Calytopsis",44.00,,,,,,,,,,,,"",50.00,2.00
550,202,"6_25_A_050312","Echinoderm","Pluteus",4.00,,,,,,,,,,,,"",50.00,2.00
551,202,"6_25_A_050312","Hydrozoan","Euphysa japonica",1.00,,,,,,,,,,,,"",50.00,2.00
552,202,"6_25_A_050312","Tunicate","Oikopleura dioica",10.00,,,,,,,,,,,,"",50.00,2.00
553,202,"6_25_A_050312","Fish","Ammodytidae larvae",3.00,,,,,,,,,,,,"",50.00,2.00
554,202,"6_25_A_050312","Gastropod","Limacina",11.00,,,,,,,,,,,,"",50.00,2.00
555,202,"6_25_A_050312","Chaetognath","Parasagitta elegans",1.00,,,,,,,,,,,,"",50.00,2.00
556,202,"6_25_A_050312","Unknown","Egg",74.00,,,,,,,,,,,,"",50.00,2.00
557,202,"6_25_A_050312","Crustecean","Nauplii",133.00,,,,,,,,,,,,"",50.00,2.00
558,202,"6_25_A_050312","Barnacle","Barnacle nauplii",38.00,,,,,,,,,,,,"",50.00,2.00
559,202,"6_25_A_050312","Annelid","Spionidae",1.00,,,,,,,,,,,,"",50.00,2.00
560,319,"7_4_A_050312","Copepod","Pseudocalanus",181.00,,,15.00,,35.00,20.00,,28.00,21.00,38.00,24.00,"",50.00,1.00
561,319,"7_4_A_050312","Copepod","Oithona similis",10.00,,,,,,,,,,4.00,6.00,"",50.00,1.00
562,319,"7_4_A_050312","Copepod","Acartia longerimis",9.00,,,,,3.00,1.00,,1.00,,1.00,3.00,"",50.00,1.00
563,319,"7_4_A_050312","Copepod","Metridia pacifica",6.00,,,2.00,,1.00,2.00,,,1.00,,,"",50.00,1.00
564,319,"7_4_A_050312","Copepod","Calanus marshallae",1.00,,1.00,,,,,,,,,,"",50.00,1.00
565,319,"7_4_A_050312","Copepod","Neocalanus plumchrus",12.00,2,5.00,4.00,,1.00,,,,,,,"",50.00,1.00
566,319,"7_4_A_050312","Copepod","Oithona atlantica",2.00,,,,,,,,1.00,,1.00,,"",50.00,1.00
567,319,"7_4_A_050312","Copepod","Scolecithricella spp.",1.00,,,,,,,,1.00,,,,"",50.00,1.00
568,319,"7_4_A_050312","Euphausid","Calytopsis",8.00,,,,,,,,,,,,"",50.00,1.00
569,319,"7_4_A_050312","Tunicate","Fritillaria borealis",22.00,,,,,,,,,,,,"",50.00,1.00
570,319,"7_4_A_050312","Chaetognath","Parasagitta elegans",3.00,,,,,,,,,,,,"",50.00,1.00
571,319,"7_4_A_050312","Fish","Ammodytidae larvae",3.00,,,,,,,,,,,,"",50.00,1.00
572,319,"7_4_A_050312","Unknown","Egg",121.00,,,,,,,,,,,,"",50.00,1.00
573,319,"7_4_A_050312","Crustecean","Nauplii",49.00,,,,,,,,,,,,"",50.00,1.00
