StationEvent,SampleEvent,Date,Time,Type,Depth,Cast,FlowmeterStart,FlowmeterEnd,Temp,Salinity,DO,Comments,TowTime,DateTimeStamp
107,153,"10/29/12 00:00:00","12/30/99 17:43:00","CTD",20.0,,,,,,,,,"10/29/12 17:30:00"
108,154,"02/12/13 00:00:00","12/30/99 10:57:00","CTD",16.0,23,,,,,,,,"02/12/13 10:45:00"
109,155,"02/12/13 00:00:00","12/30/99 11:11:00","CTD",98.0,24,,,,,,,,"02/12/13 11:00:00"
109,156,"02/12/13 00:00:00","12/30/99 11:17:00","ZOOPLANKTON",50.0,,11534,13735,,,,,,"02/12/13 11:15:00"
109,157,"02/12/13 00:00:00","12/30/99 11:18:00","PHYTOPLANKTON",1.0,,,,,,,"60 L filtered",,"02/12/13 11:15:00"
110,158,"02/12/13 00:00:00","12/30/99 11:34:00","CTD",108.0,25,,,,,,,,"02/12/13 11:30:00"
111,159,"02/12/13 00:00:00","12/30/99 11:47:00","CTD",87.0,26,,,,,,,,"02/12/13 11:45:00"
111,160,"02/12/13 00:00:00","12/30/99 11:52:00","ZOOPLANKTON",50.0,,13741,15854,,,,,,"02/12/13 11:45:00"
111,161,"02/12/13 00:00:00","12/30/99 11:50:00","PHYTOPLANKTON",0.0,,,,,,,,,"02/12/13 11:45:00"
111,162,"02/12/13 00:00:00","12/30/99 11:54:00","OCEAN ACIDIFICATION",1.0,,,,,,,,,"02/12/13 11:45:00"
112,163,"02/12/13 00:00:00","12/30/99 12:15:00","CTD",78.0,27,,,,,,,,"02/12/13 12:15:00"
113,164,"02/12/13 00:00:00","12/30/99 12:28:00","CTD",68.0,28,,,,,,,,"02/12/13 12:15:00"
114,165,"02/12/13 00:00:00","12/30/99 12:40:00","CTD",36.0,29,,,,,,"CTD time 14:38",,"02/12/13 12:30:00"
114,166,"02/12/13 00:00:00","12/30/99 12:43:00","ZOOPLANKTON",30.0,,15848,17235,,,,,,"02/12/13 12:30:00"
114,167,"02/12/13 00:00:00","12/30/99 12:42:00","PHYTOPLANKTON",1.0,,,,,,,"60 L filtered",,"02/12/13 12:30:00"
115,168,"02/12/13 00:00:00","12/30/99 13:00:00","CTD",29.0,30,,,,,," CTD time 14:58",,"02/12/13 13:00:00"
116,169,"02/12/13 00:00:00","12/30/99 13:11:00","CTD",28.0,31,,,,,,"CTD time 15:10",,"02/12/13 13:00:00"
117,170,"02/12/13 00:00:00","12/30/99 13:18:00","CTD",19.0,32,,,,,,,,"02/12/13 13:15:00"
118,171,"02/13/13 00:00:00","12/30/99 14:37:00","CTD",24.0,,,,,,,,,"02/13/13 14:30:00"
119,172,"05/03/12 00:00:00","12/30/99 17:39:00","CTD",30.7,,,,,,,,,"05/03/12 17:30:00"
120,173,"05/03/12 00:00:00","12/30/99 17:50:00","CTD",44.0,,,,,,,,,"05/03/12 17:45:00"
121,174,"05/03/12 00:00:00","12/30/99 18:01:00","CTD",98.2,,,,,,,,,"05/03/12 18:00:00"
122,175,"05/03/12 00:00:00","12/30/99 18:11:00","CTD",104.9,,,,,,,,,"05/03/12 18:00:00"
123,176,"05/03/12 00:00:00","12/30/99 18:29:00","CTD",102.0,,,,,,,,,"05/03/12 18:15:00"
123,177,"05/03/12 00:00:00","12/30/99 18:33:00","ZOOPLANKTON",0.0,24957,25202,,,,,,,"05/03/12 18:30:00"
123,178,"05/03/12 00:00:00","12/30/99 18:33:00","PHYTOPLANKTON",1.0,,,,,,,,,"05/03/12 18:30:00"
124,179,"05/03/12 00:00:00","12/30/99 18:55:00","CTD",141.0,,,,,,,,,"05/03/12 18:45:00"
125,180,"05/03/12 00:00:00","12/30/99 19:16:00","CTD",123.0,,,,,,,,,"05/03/12 19:15:00"
126,181,"05/03/12 00:00:00","12/30/99 19:32:00","CTD",132.0,,,,,,,,,"05/03/12 19:30:00"
127,182,"05/03/12 00:00:00","12/30/99 19:49:00","CTD",126.0,,,,,,,,,"05/03/12 19:45:00"
128,183,"05/03/12 00:00:00","12/30/99 20:06:00","CTD",97.0,,,,,,,,,"05/03/12 20:00:00"
129,184,"05/03/12 00:00:00","12/30/99 20:22:00","CTD",112.0,,,,,,,,,"05/03/12 20:15:00"
129,185,"05/03/12 00:00:00","12/30/99 20:27:00","OCEAN ACIDIFICATION",1.0,,,,,,,,,"05/03/12 20:15:00"
129,186,"05/03/12 00:00:00","12/30/99 20:26:00","ZOOPLANKTON",50.0,,25265,25532,,,,,,"05/03/12 20:15:00"
129,187,"05/03/12 00:00:00","12/30/99 20:26:00","PHYTOPLANKTON",1.0,,,,,,,,,"05/03/12 20:15:00"
130,188,"05/03/12 00:00:00","12/30/99 20:46:00","CTD",140.0,,,,,,,,,"05/03/12 20:45:00"
131,189,"05/03/12 00:00:00","12/30/99 21:04:00","CTD",135.0,,,,,,,,,"05/03/12 21:00:00"
132,190,"05/03/12 00:00:00","12/30/99 21:21:00","CTD",138.0,,,,,,,"Lost signal, not full cast ~110m",,"05/03/12 21:15:00"
133,191,"05/03/12 00:00:00","12/30/99 21:37:00","CTD",152.0,,,,,,,"Lost signal",,"05/03/12 21:30:00"
134,192,"05/03/12 00:00:00","12/30/99 21:55:00","CTD",155.0,,,,,,,,,"05/03/12 21:45:00"
135,193,"05/03/12 00:00:00","12/30/99 22:14:00","CTD",164.0,,,,,,,,,"05/03/12 22:00:00"
136,194,"05/03/12 00:00:00","12/30/99 22:33:00","CTD",175.0,,,,,,,,,"05/03/12 22:30:00"
137,195,"05/03/12 00:00:00","12/30/99 22:54:00","CTD",180.0,,,,,,,,,"05/03/12 22:45:00"
138,196,"05/03/12 00:00:00","12/30/99 23:15:00","CTD",176.0,,,,,,,,,"05/03/12 23:15:00"
139,197,"05/03/12 00:00:00","12/30/99 23:35:00","CTD",170.0,,,,,,,,,"05/03/12 23:30:00"
140,198,"05/03/12 00:00:00","12/30/99 23:56:00","CTD",167.0,,,,,,,,,"05/03/12 23:45:00"
141,199,"05/04/12 00:00:00","12/30/99 00:18:00","CTD",166.0,,,,,,,,,"05/04/12 00:15:00"
142,200,"05/04/12 00:00:00","12/30/99 00:40:00","CTD",170.0,,,,,,,,,"05/04/12 00:30:00"
143,201,"05/04/12 00:00:00","12/30/99 01:02:00","CTD",175.0,,,,,,,,,"05/04/12 01:00:00"
143,202,"05/04/12 00:00:00","12/30/99 01:10:00","ZOOPLANKTON",50.0,,25596,25907,,,,,,"05/04/12 01:00:00"
143,203,"05/04/12 00:00:00","12/30/99 01:10:00","PHYTOPLANKTON",0.0,,,,,,,,,"05/04/12 01:00:00"
144,204,"05/04/12 00:00:00","12/30/99 01:21:00","CTD",173.0,,,,,,,,,"05/04/12 01:15:00"
145,205,"05/04/12 00:00:00","12/30/99 01:43:00","CTD",54.0,,,,,,,,,"05/04/12 01:30:00"
165,231,"07/30/12 00:00:00","12/30/99 15:04:00","CTD",36.0,,,,,,,,,"07/30/12 15:00:00"
166,232,"07/30/12 00:00:00","12/30/99 15:18:00","CTD",49.2,,,,,,,,,"07/30/12 15:15:00"
167,233,"07/30/12 00:00:00","12/30/99 15:28:00","CTD",104.0,,,,,,,,,"07/30/12 15:15:00"
168,234,"07/30/12 00:00:00","12/30/99 15:42:00","CTD",106.0,,,,,,,,,"07/30/12 15:30:00"
169,235,"07/30/12 00:00:00","12/30/99 16:05:00","CTD",104.0,,,,,,,,,"07/30/12 16:00:00"
169,236,"07/30/12 00:00:00","12/30/99 16:05:00","ZOOPLANKTON",50.0,,31060,33859,,,,"tow time 78 secs",78,"07/30/12 16:00:00"
169,237,"07/30/12 00:00:00","12/30/99 16:05:00","PHYTOPLANKTON",10.0,,,,,,,"surface vert tow",,"07/30/12 16:00:00"
169,238,"07/30/12 00:00:00","12/30/99 16:05:00","OCEAN ACIDIFICATION",10.0,,,,,,,,,"07/30/12 16:00:00"
170,239,"07/30/12 00:00:00","12/30/99 16:37:00","CTD",143.0,,,,,,,,,"07/30/12 16:30:00"
171,248,"07/30/12 00:00:00","12/30/99 17:00:00","CTD",126.0,,,,,,,,,"07/30/12 17:00:00"
172,249,"07/30/12 00:00:00","12/30/99 17:24:00","CTD",132.0,,,,,,,,,"07/30/12 17:15:00"
173,250,"07/30/12 00:00:00","12/30/99 17:47:00","CTD",126.0,,,,,,,,,"07/30/12 17:45:00"
174,251,"07/30/12 00:00:00","12/30/99 18:09:00","CTD",93.6,,,,,,,,,"07/30/12 18:00:00"
175,252,"07/30/12 00:00:00","12/30/99 18:30:00","CTD",115.0,,,,,,,,,"07/30/12 18:30:00"
175,253,"07/30/12 00:00:00","12/30/99 18:30:00","ZOOPLANKTON",50.0,,33931,36806,,,,"tow rate 95 sec;  good plankton tow",95,"07/30/12 18:30:00"
175,254,"07/30/12 00:00:00","12/30/99 18:30:00","PHYTOPLANKTON",10.0,,,,,,,"surface; vert tow",,"07/30/12 18:30:00"
175,255,"07/30/12 00:00:00","12/30/99 18:30:00","OCEAN ACIDIFICATION",10.0,,,,,,,,,"07/30/12 18:30:00"
176,256,"07/30/12 00:00:00","12/30/99 19:01:00","CTD",139.0,,,,,,,,,"07/30/12 19:00:00"
177,257,"07/30/12 00:00:00","12/30/99 19:24:00","CTD",132.0,,,,,,,,,"07/30/12 19:15:00"
178,258,"07/30/12 00:00:00","12/30/99 19:45:00","CTD",138.0,,,,,,,,,"07/30/12 19:45:00"
179,259,"07/30/12 00:00:00","12/30/99 20:06:00","CTD",150.0,,,,,,,,,"07/30/12 20:00:00"
180,260,"07/30/12 00:00:00","12/30/99 20:29:00","CTD",154.0,,,,,,,,,"07/30/12 20:15:00"
181,261,"07/30/12 00:00:00","12/30/99 20:49:00","CTD",163.0,,,,,,,,,"07/30/12 20:45:00"
182,262,"07/30/12 00:00:00","12/30/99 21:11:00","CTD",174.0,,,,,,,,,"07/30/12 21:00:00"
183,263,"07/30/12 00:00:00","12/30/99 21:34:00","CTD",178.0,,,,,,,,,"07/30/12 21:30:00"
184,264,"07/30/12 00:00:00","12/30/99 21:56:00","CTD",174.0,,,,,,,,,"07/30/12 21:45:00"
185,265,"07/30/12 00:00:00","12/30/99 22:19:00","CTD",167.0,,,,,,,,,"07/30/12 22:15:00"
186,266,"07/30/12 00:00:00","12/30/99 22:38:00","CTD",166.0,,,,,,,,,"07/30/12 22:30:00"
187,267,"07/30/12 00:00:00","12/30/99 23:00:00","CTD",166.0,,,,,,,,,"07/30/12 23:00:00"
188,268,"07/30/12 00:00:00","12/30/99 23:20:00","CTD",168.0,,,,,,,,,"07/30/12 23:15:00"
189,269,"07/30/12 00:00:00","12/30/99 23:39:00","CTD",175.0,,,,,,,,,"07/30/12 23:30:00"
189,270,"07/30/12 00:00:00","12/30/99 23:39:00","ZOOPLANKTON",50.0,,36825,42815,,,,"cable problems",,"07/30/12 23:30:00"
189,271,"07/30/12 00:00:00","12/30/99 23:39:00","PHYTOPLANKTON",10.0,,,,,,,"-surface - vert tow",,"07/30/12 23:30:00"
189,272,"07/30/12 00:00:00","12/30/99 23:39:00","OCEAN ACIDIFICATION",10.0,,,,,,,"niskin",,"07/30/12 23:30:00"
190,273,"07/31/12 00:00:00","12/30/99 00:07:00","CTD",171.0,,,,,,,,,"07/31/12 00:00:00"
191,274,"07/31/12 00:00:00","12/30/99 00:25:00","CTD",149.0,,,,,,,,,"07/31/12 00:15:00"
192,275,"07/31/12 00:00:00","12/30/99 00:40:00","CTD",44.4,,,,,,,,,"07/31/12 00:30:00"
193,276,"10/28/12 00:00:00","12/30/99 07:56:00","CTD",104.0,,,,,,,,,"10/28/12 07:45:00"
194,277,"10/28/12 00:00:00","12/30/99 08:09:00","CTD",151.0,,,,,,,,,"10/28/12 08:00:00"
195,278,"10/28/12 00:00:00","12/30/99 08:25:00","CTD",155.0,,,,,,,,,"10/28/12 08:15:00"
196,279,"10/28/12 00:00:00","12/30/99 08:44:00","CTD",172.0,,,,,,,,,"10/28/12 08:30:00"
196,280,"10/28/12 00:00:00","12/30/99 08:54:00","ZOOPLANKTON",60.0,,68088,77968,,,,,,"10/28/12 08:45:00"
196,281,"10/28/12 00:00:00","12/30/99 08:50:00","PHYTOPLANKTON",10.0,,,,,,,,,"10/28/12 08:45:00"
196,282,"10/28/12 00:00:00","12/30/99 09:00:00","OCEAN ACIDIFICATION",1.0,,,,,,,,,"10/28/12 09:00:00"
197,283,"10/28/12 00:00:00","12/30/99 09:42:00","CTD",171.0,,,,,,,,,"10/28/12 09:30:00"
198,284,"10/28/12 00:00:00","12/30/99 10:06:00","CTD",101.0,,,,,,,,,"10/28/12 10:00:00"
199,285,"10/28/12 00:00:00","12/30/99 10:33:00","CTD",166.0,,,,,,,,,"10/28/12 10:30:00"
200,286,"10/28/12 00:00:00","12/30/99 10:58:00","CTD",171.0,,,,,,,,,"10/28/12 10:45:00"
201,287,"10/28/12 00:00:00","12/30/99 11:21:00","CTD",157.0,,,,,,,,,"10/28/12 11:15:00"
202,288,"10/28/12 00:00:00","12/30/99 11:44:00","CTD",170.0,,,,,,,,,"10/28/12 11:30:00"
203,289,"10/28/12 00:00:00","12/30/99 12:08:00","CTD",177.0,,,,,,,,,"10/28/12 12:00:00"
204,290,"10/28/12 00:00:00","12/30/99 12:30:00","CTD",167.0,,,,,,,,,"10/28/12 12:30:00"
205,291,"10/28/12 00:00:00","12/30/99 12:54:00","CTD",157.0,,,,,,,,,"10/28/12 12:45:00"
206,292,"10/28/12 00:00:00","12/30/99 13:17:00","CTD",156.0,,,,,,,,,"10/28/12 13:15:00"
207,293,"10/28/12 00:00:00","12/30/99 13:39:00","CTD",142.0,,,,,,,,,"10/28/12 13:30:00"
208,294,"10/28/12 00:00:00","12/30/99 14:02:00","CTD",136.0,,,,,,,,,"10/28/12 14:00:00"
209,295,"10/28/12 00:00:00","12/30/99 14:28:00","CTD",147.0,,,,,,,,,"10/28/12 14:15:00"
210,296,"10/28/12 00:00:00","12/30/99 14:53:00","CTD",118.0,,,,,,,,,"10/28/12 14:45:00"
210,297,"10/28/12 00:00:00","12/30/99 15:00:00","ZOOPLANKTON",118.0,,78188,82617,,,,,,"10/28/12 15:00:00"
210,298,"10/28/12 00:00:00","12/30/99 14:59:00","PHYTOPLANKTON",1.0,,,,,,,,,"10/28/12 14:45:00"
210,299,"10/28/12 00:00:00","12/30/99 15:00:00","OCEAN ACIDIFICATION",50.0,,,,,,,,,"10/28/12 15:00:00"
211,300,"10/28/12 00:00:00","12/30/99 15:35:00","CTD",73.0,,,,,,,,,"10/28/12 15:30:00"
