"Date","Sampling location","Alexandrium spp.","Ceratium furca","Ceratium fusus","Ceratium longipes","Dinophysis spp.","Gonyaulax spp.","Heterocapsa spp.","Karenia mikimotoi","Noctiluca scintillans","Prorocentrum spp.","Prorocentrum lima","Prorocentrum micans","Protoperidinium spp.","Scrippsiella spp.","unknown dinoflagellate","Asterionellopsis spp.","Bacillaria spp.","Bacteriastrum spp.","Bacteriosira spp.","Cerataulina spp.","Chaetoceros spp.","Coccolithophore spp.","Coscinodiscus spp.","Corethron spp.","Cylindrotheca closterium","Detonula spp.","Dictyocha spp.","Ditylum spp.","Entomoneis spp.","Eucampia spp.","Fragilariopsis spp.","Grammatophora spp.","Guinardia spp.","Hemiaulus spp.","Lauderia spp.","Leptocylindrus spp.","Licmorpha spp.","Lioloma spp.","Melosira spp.","Navicula spp.","Nitzschia spp.","Odontella spp.","Pleurosigma spp.","Pseudo-nitzschia spp.","Rhizosolenia spp.","Skeletonema spp.","Stephanopyxis spp.","Striatella spp.","Thalassionema spp.","Thalassiosira spp.","unknown centric diatom (chain-forming)","unknown centric diatom (non chain-forming)","unknown pennate diatom"
2013-06-10,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,892.5,0,0,0,0,0,0,0,0,0,0,673242.5,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,297.5,0,0,297.5,0,0,0,10115,297.5,3867.5,0,0,0,1785,0,0,595
2013-06-14,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,287087.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,297.5,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0
2013-06-17,"Jakolof Bay Dock",595,0,0,0,0,0,0,0,0,892.5,0,0,1785,0,0,0,0,0,0,0,344207.5,0,0,0,0,0,0,0,0,0,10412.5,0,0,0,0,1190,0,0,0,0,0,1487.5,0,892.5,0,0,3867.5,0,0,0,0,0,0
2013-06-21,"Jakolof Bay Dock",0,297.5,0,0,0,0,0,0,0,2975,0,0,595,0,0,0,0,0,0,0,278162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,595,2380,0,0,0,0,0,0,0
2013-06-24,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,297.5,0,0,0,297.5,0,0,0,0,0,0,0,160650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-26,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,167195,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,11305,0,0,0,595,0,0,297.5,2082.5,0,0,0,0,0,0,0,0,0
2013-07-01,"Jakolof Bay Dock",148.75,148.75,0,0,148.75,0,0,0,0,148.75,0,0,0,148.75,0,0,0,0,0,0,35700,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,"Jakolof Bay Dock",148.75,148.75,0,0,148.75,0,0,0,0,148.75,0,0,0,148.75,0,0,0,0,0,0,35700,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-03,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,297.5,0,0,148.75,148.75,0,0,0,0,0,0,120487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,446.25,0,0,0,0,0,0,743.75,446.25,0,0,0,0,0,0,0,0
2013-07-07,"Jakolof Bay Dock",0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65450,0,0,0,0,0,0,0,0,0,1785,0,1785,0,0,32130,0,0,0,743.75,0,0,0,2231.25,297.5,1933.75,0,0,0,0,0,0,0
2013-07-08,"Jakolof Bay Dock",0,0,0,0,446.25,0,0,0,0,0,0,0,595,446.25,0,0,0,0,0,0,113050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9371.25,0,0,0,148.75,0,0,0,5206.25,297.5,0,1487.5,0,0,0,0,0,0
2013-07-10,"Jakolof Bay Dock",0,0,0,0,297.5,0,0,0,0,0,0,0,0,892.5,0,0,0,0,0,0,168087.5,0,297.5,0,0,0,297.5,0,0,0,3272.5,0,0,0,0,31832.5,0,0,0,2082.5,0,0,0,3570,297.5,0,0,0,0,892.5,0,0,0
2013-07-15,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,297.5,0,0,446.25,0,0,0,0,0,0,0,130900,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,17701.25,0,0,0,0,0,0,0,3867.5,446.25,0,0,0,0,0,0,0,0
2013-07-22,"Jakolof Bay Dock",0,0,0,148.75,297.5,446.25,0,0,0,1190,0,0,743.75,0,0,297.5,0,0,0,0,139825,0,0,0,297.5,0,148.75,0,0,0,0,0,0,0,0,30940,0,0,0,0,0,0,297.5,4908.75,446.25,0,743.75,0,0,0,0,0,0
2013-07-29,"Jakolof Bay Dock",0,0,0,0,743.75,0,0,0,148.75,0,0,0,0,446.25,0,0,0,0,0,0,48343.75,0,892.5,0,297.5,0,595,446.25,0,0,0,0,0,0,0,31981.25,0,0,0,148.75,0,0,0,12941.25,446.25,0,0,0,595,0,0,0,0
2013-08-02,"Jakolof Bay Dock",0,297.5,0,446.25,297.5,0,446.25,0,0,0,0,0,0,1041.25,0,0,0,0,0,892.5,52806.25,0,892.5,0,446.25,0,892.5,0,0,0,1487.5,0,0,0,0,19783.75,297.5,743.75,3421.25,1338.75,0,0,0,27370,0,0,0,0,0,0,0,0,0
2013-08-09,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,4016.25,0,0,0,0,0,0,148.75,0,0,0,0,595,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,"Jakolof Bay Dock",0,0,148.75,0,148.75,0,0,0,0,0,0,0,297.5,0,0,0,0,446.25,0,0,2082.5,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,148.75,0,1338.75,0,0,0,0,3570,0,0,0,0,0,1933.75,0,0,0
2013-08-23,"Jakolof Bay Dock",0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,446.25,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082.5,0,0,0,0,0,0,0,0,0
2013-08-30,"Jakolof Bay Dock",0,2380,1785,3272.5,297.5,0,0,0,0,0,0,0,1190,0,0,0,0,2082.5,0,0,0,0,0,0,0,0,13387.5,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933.75,0,0,0,0,0,0,0,0,0
2013-09-13,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.25,0,0,6098.75,0,0,0,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,297.5,297.5,0,0,0,0,0,0,0,0
2013-09-20,"Jakolof Bay Dock",0,297.5,0,0,148.75,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,12346.25,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0
2013-09-27,"Jakolof Bay Dock",0,3570,297.5,0,446.25,0,0,29601.25,0,0,0,0,2082.5,0,0,0,0,0,0,0,14577.5,0,297.5,0,0,0,743.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.5,0,0,0,892.5,446.25,0,0,0
2013-10-25,"Jakolof Bay Dock",0,446.25,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,1041.25,0,297.5,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0
2014-04-23,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,297.5,0,9668.75,0,0,0,2826.25,0,0,0
2014-05-09,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489387.5,0,0,0,148.75,0,148.75,0,148.75,892.5,0,0,0,0,0,0,0,0,1041.25,0,0,0,0,4313.75,0,40608.75,0,0,1636.25,79135,0,0,0
2014-05-15,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695406.25,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.5,0,0,0,446.25,595,0,3867.5,0,0,37782.5,0,0,0
2014-06-06,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0,313118.75,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,5503.75,0,0,0,0,0,0,0,2380,297.5,3570,0,0,0,446.25,0,0,0
2014-06-13,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0,439556.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.25,0,0,0,0,148.75,0,0,1338.75,1487.5,0,1487.5,0,0,1933.75,0,0,0
2014-06-17,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,892.5,898450,0,0,0,0,0,0,0,0,0,743.75,0,0,0,0,2677.5,0,0,0,0,0,0,0,1190,297.5,0,0,0,0,0,0,0,0
2014-06-27,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15618.75,1425025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7735,0,0,0,0,0,0,0,3272.5,148.75,0,0,0,0,0,0,0,0
2014-07-02,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32130,229818.75,0,0,0,0,0,0,0,0,0,0,0,0,446.25,0,3867.5,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0
2014-08-04,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,743.75,446.25,0,0,0,0,0,0,245883.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231.25,0,0,0,0,0,595,0,13238.75,19040,14131.25,0,0,0,0,0,0,0
2013-06-06,"Kachemak Bay 1",0,0,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,484330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677.5,0,0,0,148.75,297.5,0,0,0,0,1785,0,0,0,1338.75,0,0,0
2014-03-28,"Kachemak Bay 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,446.25,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,4165,0,0,0,3421.25,0,0,0
2014-03-28,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16362.5,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,595,0,0,0,0,297.5,3123.75,0,0,0
2017-03-28,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44005848,0,0,0,0,0,1085.5,0,53.6001462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,0,0,0
2017-04-20,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,53,0,21,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,20,0,0,18,0,0,0,0,0,210,0,0,0
2017-06-28,"Kachemak Bay 10",0,0,0,54,0,0,125,0,0,0,0,0,0,110,58,0,0,0,0,0,568,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0
2017-07-24,"Kachemak Bay 10",0,0,0,0,0,0,350,0,0,0,0,0,0,46,0,0,0,0,0,0,1220,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,1190,450,0,0,0
2017-08-24,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,2500.0864,0,0,0,0,0,0,0,0,0,0,0,0,0,250.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-22,"Kachemak Bay 10",0,0,0,0,110.875,0,0,0,0,0,0,0,0,10.07,450.07,0,0,0,0,0,1186.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.8,0,0,0,0,0,2100.75,0,0,0
2017-10-20,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-07,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-16,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,110.868,0
2018-03-02,"Kachemak Bay 10",0,0,48,96.2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.874,0,0
2018-03-27,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,0
2018-05-24,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-22,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,58.24,0,0,0,0,0,5488.241,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,68.93,0,0,0
2018-07-24,"Kachemak Bay 10",0,26.86,0,26.86,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0,7875.7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.24,0,0,0,0,0,0,0,48.96,0,0,0,0,0,180.75,0,0,0
2018-08-23,"Kachemak Bay 10",0,0,0,0,0,0,78.84,0,0,0,0,0,0,0,68.9,0,0,0,0,0,4568.9478,0,12.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.95,0,0,0,0,0,75.87,0,0,0
2018-09-17,"Kachemak Bay 10",0,458.75,0,0,0,0,0,0,0,0,0,0,0,78.58,0,0,0,0,0,0,2585.982,0,0,0,0,0,0,0,0,0,0,0,0,0,248.8,0,0,0,0,0,0,0,0,168.85,0,0,0,0,0,348.28,0,0,0
2018-11-08,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-06,"Kachemak Bay 10",0,12,0,0,0,0,0,0,0,0,0,0,0,0,48.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,23.125,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,3.75,0,0,1.25
2019-03-19,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52010234,0,5.36001462,0,21.44005848,0,0,16.08004386,0,0,21.44005848,0,0,0,0,0,0,0,0,5.36001462,0,21.44005848,0,21.44005848,0,42.88011696,0,0,0,64.32017544,0,0,0
2019-04-24,"Kachemak Bay 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44005848,0,0,0,0,0,643.2017544,0,0,0,375.2010234,0,0,0,0,0,0,0,0,0,0,182.2404971,0,0,0,42.88011696,0,0,0,139.3603801,0,0,0,0,10.72002924,546.7214912,0,0,0
2019-06-19,"Kachemak Bay 10",0,0,0,0,0,0,21.44005848,0,0,0,0,0,0,10.72002924,0,0,0,0,0,0,2283.366228,0,0,0,21.44005848,0,0,0,0,0,0,0,0,0,0,1125.60307,0,0,0,0,21.44005848,0,10.72002924,160.8004386,214.4005848,139.3603801,0,0,235.8406433,107.2002924,0,0,0
2019-07-10,"Kachemak Bay 10",0,0,0,0,1.875,0,1125.60307,0,0,0,0,0,0,214.4005848,53.6001462,0,0,0,0,160.8004386,6753.618421,0,53.6001462,0,53.6001462,0,0,0,0,0,0,0,268.000731,0,0,0,0,0,0,0,0,0,0,31945.68713,0,97552.26608,0,0,321.6008772,53.6001462,0,0,0
2019-07-23,"Kachemak Bay 10",0,0,0,0,269.875731,53.6001462,375.2010234,0.625,0,0.625,0,0,0,107.2002924,482.4013158,0,0,0,0,107.2002924,114436.3121,0,53.6001462,0,0,0,0,0,0,53.6001462,0,0,107.2002924,0,0,0,0,0,0,0,53.6001462,0,0,13507.23684,589.6016082,58156.15863,0,0,643.2017544,214.4005848,0,0,0
