Date,Station,Taxon,Abundance (cells/L),Taxon
2/7/2019,T9-10,Eucampia zodiacus,0,Eucampia spp.
2/7/2019,T9-10,Fragilariopsis spp.,0,Fragilariopsis spp.
2/7/2019,T9-10,Grammatophora spp.,0,Grammatophora spp.
2/7/2019,T9-10,Guinardia delicatula,0,Guinardia spp.
2/7/2019,T9-10,Guinardia striata,0,Guinardia spp.
2/7/2019,T9-10,Leptocylindrus danicus,0,Leptocylindrus spp.
2/7/2019,T9-10,Leptocylindrus minimum,0,Leptocylindrus spp.
2/7/2019,T9-10,Licmophora spp.,0,Licmophora spp.
2/7/2019,T9-10,Melosira moniliformis,0,Melosira spp.
2/7/2019,T9-10,Navicula spp.,1.88,Navicula spp.
2/7/2019,T9-10,Nitzschia spp.,0,Nitzschia spp.
2/7/2019,T9-10,Odontella spp.,0.63,Odontella spp.
2/7/2019,T9-10,Paralia sulcata,0,unknown centric diatom (chain forming)
2/7/2019,T9-10,Pinnulia sp.,0,unknown pennate diatom
2/7/2019,T9-10,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
2/7/2019,T9-10,Pleurosigma sp.,0,Pleurosigma spp.
2/7/2019,T9-10,Proboscia alata,0,unknown pennate diatom
2/7/2019,T9-10,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
2/7/2019,T9-10,Pseudo-nitzschia deli/p-deli,0,Pseudo-nitzschia spp.
2/7/2019,T9-10,Pseudo-nitzschia multi/pung,1.25,Pseudo-nitzschia spp.
2/7/2019,T9-10,Rhizosolenia setigera,1.25,Rhizosolenia spp.
2/7/2019,T9-10,Rhizosolenia styliformis,0,Rhizosolenia spp.
2/7/2019,T9-10,Rhizosolenia sp.,0,Rhizosolenia spp.
2/7/2019,T9-10,Skeletonema costatum,11.25,Skeletonema spp.
2/7/2019,T9-10,Surirella spp.,0,unknown pennate diatom
2/7/2019,T9-10,Stephanopyxis spp.,0,Stephanopyxis spp.
2/7/2019,T9-10,Synedra sp.,0,unknown pennate diatom
2/7/2019,T9-10,Thalassionema nitzschioides,0,Thalassionema spp.
2/7/2019,T9-10,Thalassiosira spp.,5.63,Thalassiosira spp.
2/7/2019,T9-10,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
2/7/2019,T9-10,Thalassiosira rotula,0,Thalassiosira spp.
2/7/2019,T9-10,Thalassiothrix longissum,0,unknown pennate diatom
2/7/2019,T9-10,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
2/7/2019,T9-10,Pennate diatoms,0,unknown pennate diatom
2/7/2019,T9-10,Akashiwa sanguinea,0,unknown dinflagellate
2/7/2019,T9-10,Alexandrium spp.,0,Alexandrium spp.
2/7/2019,T9-10,Ceratium azoricum,0,unknown dinflagellate
2/7/2019,T9-10,Ceratium fusus,0,Ceratium fusus
2/7/2019,T9-10,Ceratium horridum,0,unknown dinflagellate
2/7/2019,T9-10,Ceratium lineatum,0,unknown dinflagellate
2/7/2019,T9-10,Ceratium longipes,0,Ceratium longipes
2/7/2019,T9-10,Ceratium pentagum,0,unknown dinflagellate
2/7/2019,T9-10,Ceratium tripos,0,unknown dinflagellate
2/7/2019,T9-10,Dinophysis acuminata,0,Dinophysis spp.
2/7/2019,T9-10,Dinophysis fortii,0,Dinophysis spp.
2/7/2019,T9-10,Dinophysis norvegica,0,Dinophysis spp.
2/7/2019,T9-10,Dinophysis parva,0,Dinophysis spp.
2/7/2019,T9-10,Diplopeltopsis sp.,0,unknown dinoflagellate
2/7/2019,T9-10,Dissodinium pseudolumula,0,unknown dinoflagellate
2/7/2019,T9-10,Gonyaulax digitale,0,Gonyaulax spp.
2/7/2019,T9-10,Gonyaulax spinifera,0,Gonyaulax spp.
2/7/2019,T9-10,Gymnodinium spp.,0,unknown dinoflagellate
2/7/2019,T9-10,Gyrodinium sp.,0,unknown dinoflagellate
2/7/2019,T9-10,Heterocapsa triquetra,0,Heterocapsa triquetra
2/7/2019,T9-10,Noctiluca scintillans,0,Noctiluca scintillans
2/7/2019,T9-10,Phalacroma rotundatum,0,unknown dinoflagellate
2/7/2019,T9-10,Polykrikos schwarzii,0,unknown dinoflagellate
2/7/2019,T9-10,Prorocentrum gracile,0,Prorocentrum spp.
2/7/2019,T9-10,Prorocentrum micans,0,Prorocentrum spp.
2/7/2019,T9-10,Prorocentrum minimum,0,Prorocentrum spp.
2/7/2019,T9-10,Proroceratium reticulatum,0,unknown dinoflagellate
2/7/2019,T9-10,Protoperidinium bipes,0,Protoperidinium spp.
2/7/2019,T9-10,Protoperidinium spp.,0,Protoperidinium spp.
2/7/2019,T9-10,Pyrophacus horologium,0,unknown dinoflagellate
2/7/2019,T9-10,Scrippsiella trochoidea,0,Scrippsiella spp.
2/7/2019,T9-10,small dino,0,unknown dinoflagellate
2/7/2019,T9-10,Torodinium robustum,0,unknown dinoflagellate
2/7/2019,T9-10,Dictyocha speculum,2.5,Dictyocha spp.
2/7/2019,T9-10,Mesodinium rubrum,0,Mesodinium rubrum
2/7/2019,T9-10,naked ciliates,0,naked ciliates
2/7/2019,T9-10,tintinnids,0,tintinnids
2/7/2019,T9-10,Euglena,0,Euglena
2/7/2019,KB10,Achnanthes spp.,0,unknown pennate diatom
2/7/2019,KB10,Actinoptychus senarius,0.63,unknown centric diatom (non-chain forming)
2/7/2019,KB10,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
2/7/2019,KB10,Asterionellopsis glacialis,0,Asterionellopsis spp.
2/7/2019,KB10,Asterionellopsis socialis,0,Asterionellopsis spp.
2/7/2019,KB10,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
2/7/2019,KB10,Bacteriastrum spp.,0,Bacteriastrum spp.
2/7/2019,KB10,Bacillaria paxilli,0,Bacillaria spp.
2/7/2019,KB10,Cerataulina pelagica,0,Cerataulina spp.
2/7/2019,KB10,Chaetoceros spp.,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros affinis,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros convolutus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros contortus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros danicus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros debilis,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros decipiens,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros didymus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros laciniosus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros lorenzianus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros radicans,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros rostratus,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros socialis,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros similis,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros subtilis,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros teres,0,Chaetoceros spp.
2/7/2019,KB10,Chaetoceros vanheurckii,0,Chaetoceros spp.
2/7/2019,KB10,Coscinodiscus spp.,23.13,Coscinodiscus spp.
2/7/2019,KB10,Corethron sp.,0,Corethron sp.
2/7/2019,KB10,Cylindrotheca closterium,0,Cylindrotheca closterium
2/7/2019,KB10,Dactyliosolen fragilissimus,0,unknown pennate diatom
2/7/2019,KB10,Dactyliosolen blavyanus,0,unknown pennate diatom
2/7/2019,KB10,Ditylium brightwellii,1.25,Ditylium spp.
2/7/2019,KB10,Detonula pumila,0,Detonula spp.
2/7/2019,KB10,Eucampia zodiacus,0,Eucampia spp.
2/7/2019,KB10,Fragilariopsis spp.,0,Fragilariopsis spp.
2/7/2019,KB10,Grammatophora spp.,0,Grammatophora spp.
2/7/2019,KB10,Guinardia delicatula,0,Guinardia spp.
2/7/2019,KB10,Guinardia striata,0,Guinardia spp.
2/7/2019,KB10,Leptocylindrus danicus,0,Leptocylindrus spp.
2/7/2019,KB10,Leptocylindrus minimum,0,Leptocylindrus spp.
2/7/2019,KB10,Licmophora spp.,0,Licmophora spp.
2/7/2019,KB10,Melosira moniliformis,0,Melosira spp.
2/7/2019,KB10,Navicula spp.,0,Navicula spp.
2/7/2019,KB10,Nitzschia spp.,0,Nitzschia spp.
2/7/2019,KB10,Odontella spp.,0,Odontella spp.
2/7/2019,KB10,Paralia sulcata,0,unknown centric diatom (chain forming)
2/7/2019,KB10,Pinnulia sp.,0,unknown pennate diatom
2/7/2019,KB10,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
2/7/2019,KB10,Pleurosigma sp.,0,Pleurosigma spp.
2/7/2019,KB10,Proboscia alata,0,unknown pennate diatom
2/7/2019,KB10,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
2/7/2019,KB10,Pseudo-nitzschia deli/p-deli,0,Pseudo-nitzschia spp.
2/7/2019,KB10,Pseudo-nitzschia multi/pung,0,Pseudo-nitzschia spp.
2/7/2019,KB10,Rhizosolenia setigera,0.63,Rhizosolenia spp.
2/7/2019,KB10,Rhizosolenia styliformis,0,Rhizosolenia spp.
2/7/2019,KB10,Rhizosolenia sp.,0,Rhizosolenia spp.
2/7/2019,KB10,Skeletonema costatum,0,Skeletonema spp.
2/7/2019,KB10,Surirella spp.,0,unknown pennate diatom
2/7/2019,KB10,Stephanopyxis spp.,0,Stephanopyxis spp.
2/7/2019,KB10,Synedra sp.,0,unknown pennate diatom
2/7/2019,KB10,Thalassionema nitzschioides,0,Thalassionema spp.
2/7/2019,KB10,Thalassiosira spp.,3.75,Thalassiosira spp.
2/7/2019,KB10,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
2/7/2019,KB10,Thalassiosira rotula,0,Thalassiosira spp.
2/7/2019,KB10,Thalassiothrix longissum,0,unknown pennate diatom
2/7/2019,KB10,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
2/7/2019,KB10,Pennate diatoms,1.25,unknown pennate diatom
2/7/2019,KB10,Akashiwa sanguinea,0,unknown dinflagellate
2/7/2019,KB10,Alexandrium spp.,0,Alexandrium spp.
2/7/2019,KB10,Ceratium azoricum,0,unknown dinflagellate
2/7/2019,KB10,Ceratium fusus,0,Ceratium fusus
2/7/2019,KB10,Ceratium horridum,0,unknown dinflagellate
2/7/2019,KB10,Ceratium lineatum,0,unknown dinflagellate
2/7/2019,KB10,Ceratium longipes,0,Ceratium longipes
2/7/2019,KB10,Ceratium pentagum,0,unknown dinflagellate
2/7/2019,KB10,Ceratium tripos,0,unknown dinflagellate
2/7/2019,KB10,Dinophysis acuminata,0,Dinophysis spp.
2/7/2019,KB10,Dinophysis fortii,0,Dinophysis spp.
2/7/2019,KB10,Dinophysis norvegica,0,Dinophysis spp.
2/7/2019,KB10,Dinophysis parva,0,Dinophysis spp.
2/7/2019,KB10,Diplopeltopsis sp.,0,unknown dinoflagellate
2/7/2019,KB10,Dissodinium pseudolumula,0,unknown dinoflagellate
2/7/2019,KB10,Gonyaulax digitale,0,Gonyaulax spp.
2/7/2019,KB10,Gonyaulax spinifera,0,Gonyaulax spp.
2/7/2019,KB10,Gymnodinium spp.,0,unknown dinoflagellate
2/7/2019,KB10,Gyrodinium sp.,0,unknown dinoflagellate
2/7/2019,KB10,Heterocapsa triquetra,0,Heterocapsa triquetra
2/7/2019,KB10,Noctiluca scintillans,0,Noctiluca scintillans
2/7/2019,KB10,Phalacroma rotundatum,0,unknown dinoflagellate
2/7/2019,KB10,Polykrikos schwarzii,0,unknown dinoflagellate
2/7/2019,KB10,Prorocentrum gracile,0,Prorocentrum spp.
2/7/2019,KB10,Prorocentrum micans,0.63,Prorocentrum spp.
2/7/2019,KB10,Prorocentrum minimum,0,Prorocentrum spp.
2/7/2019,KB10,Proroceratium reticulatum,0,unknown dinoflagellate
2/7/2019,KB10,Protoperidinium bipes,0,Protoperidinium spp.
2/7/2019,KB10,Protoperidinium spp.,0,Protoperidinium spp.
2/7/2019,KB10,Pyrophacus horologium,0,unknown dinoflagellate
2/7/2019,KB10,Scrippsiella trochoidea,0,Scrippsiella spp.
2/7/2019,KB10,small dino,0,unknown dinoflagellate
2/7/2019,KB10,Torodinium robustum,0,unknown dinoflagellate
2/7/2019,KB10,Dictyocha speculum,4.38,Dictyocha spp.
2/7/2019,KB10,Mesodinium rubrum,0,Mesodinium rubrum
2/7/2019,KB10,naked ciliates,0,naked ciliates
2/7/2019,KB10,tintinnids,0,tintinnids
2/7/2019,KB10,Euglena,0,Euglena
2/8/2019,T7-20,Achnanthes spp.,0,unknown pennate diatom
2/8/2019,T7-20,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
2/8/2019,T7-20,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
2/8/2019,T7-20,Asterionellopsis glacialis,0,Asterionellopsis spp.
2/8/2019,T7-20,Asterionellopsis socialis,0,Asterionellopsis spp.
2/8/2019,T7-20,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
2/8/2019,T7-20,Bacteriastrum spp.,0,Bacteriastrum spp.
2/8/2019,T7-20,Bacillaria paxilli,0,Bacillaria spp.
2/8/2019,T7-20,Cerataulina pelagica,0.63,Cerataulina spp.
2/8/2019,T7-20,Chaetoceros spp.,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros affinis,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros convolutus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros contortus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros danicus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros debilis,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros decipiens,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros didymus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros laciniosus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros lorenzianus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros radicans,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros rostratus,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros socialis,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros similis,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros subtilis,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros teres,0,Chaetoceros spp.
2/8/2019,T7-20,Chaetoceros vanheurckii,0,Chaetoceros spp.
2/8/2019,T7-20,Coscinodiscus spp.,1.88,Coscinodiscus spp.
2/8/2019,T7-20,Corethron sp.,0,Corethron sp.
2/8/2019,T7-20,Cylindrotheca closterium,1.25,Cylindrotheca closterium
2/8/2019,T7-20,Dactyliosolen fragilissimus,0,unknown pennate diatom
2/8/2019,T7-20,Dactyliosolen blavyanus,0,unknown pennate diatom
2/8/2019,T7-20,Ditylium brightwellii,0.63,Ditylium spp.
2/8/2019,T7-20,Detonula pumila,0,Detonula spp.
2/8/2019,T7-20,Eucampia zodiacus,0,Eucampia spp.
2/8/2019,T7-20,Fragilariopsis spp.,0,Fragilariopsis spp.
2/8/2019,T7-20,Grammatophora spp.,0,Grammatophora spp.
2/8/2019,T7-20,Guinardia delicatula,0,Guinardia spp.
2/8/2019,T7-20,Guinardia striata,0.63,Guinardia spp.
2/8/2019,T7-20,Leptocylindrus danicus,0,Leptocylindrus spp.
2/8/2019,T7-20,Leptocylindrus minimum,0,Leptocylindrus spp.
2/8/2019,T7-20,Licmophora spp.,0,Licmophora spp.
2/8/2019,T7-20,Melosira moniliformis,0,Melosira spp.
2/8/2019,T7-20,Navicula spp.,0,Navicula spp.
2/8/2019,T7-20,Nitzschia spp.,0,Nitzschia spp.
2/8/2019,T7-20,Odontella spp.,0,Odontella spp.
2/8/2019,T7-20,Paralia sulcata,0,unknown centric diatom (chain forming)
2/8/2019,T7-20,Pinnulia sp.,0,unknown pennate diatom
2/8/2019,T7-20,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
2/8/2019,T7-20,Pleurosigma sp.,0,Pleurosigma spp.
2/8/2019,T7-20,Proboscia alata,0,unknown pennate diatom
2/8/2019,T7-20,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
2/8/2019,T7-20,Pseudo-nitzschia deli/p-deli,0,Pseudo-nitzschia spp.
2/8/2019,T7-20,Pseudo-nitzschia multi/pung,0,Pseudo-nitzschia spp.
2/8/2019,T7-20,Rhizosolenia setigera,0,Rhizosolenia spp.
2/8/2019,T7-20,Rhizosolenia styliformis,0,Rhizosolenia spp.
2/8/2019,T7-20,Rhizosolenia sp.,0.63,Rhizosolenia spp.
2/8/2019,T7-20,Skeletonema costatum,3.75,Skeletonema spp.
2/8/2019,T7-20,Surirella spp.,0,unknown pennate diatom
2/8/2019,T7-20,Stephanopyxis spp.,0,Stephanopyxis spp.
2/8/2019,T7-20,Synedra sp.,0,unknown pennate diatom
2/8/2019,T7-20,Thalassionema nitzschioides,0,Thalassionema spp.
2/8/2019,T7-20,Thalassiosira spp.,0.63,Thalassiosira spp.
2/8/2019,T7-20,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
2/8/2019,T7-20,Thalassiosira rotula,0,Thalassiosira spp.
2/8/2019,T7-20,Thalassiothrix longissum,0,unknown pennate diatom
2/8/2019,T7-20,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
2/8/2019,T7-20,Pennate diatoms,0,unknown pennate diatom
2/8/2019,T7-20,Akashiwa sanguinea,0,unknown dinflagellate
2/8/2019,T7-20,Alexandrium spp.,0,Alexandrium spp.
2/8/2019,T7-20,Ceratium azoricum,0,unknown dinflagellate
2/8/2019,T7-20,Ceratium fusus,0,Ceratium fusus
2/8/2019,T7-20,Ceratium horridum,0,unknown dinflagellate
2/8/2019,T7-20,Ceratium lineatum,0.63,unknown dinflagellate
2/8/2019,T7-20,Ceratium longipes,0.63,Ceratium longipes
2/8/2019,T7-20,Ceratium pentagum,0,unknown dinflagellate
2/8/2019,T7-20,Ceratium tripos,0,unknown dinflagellate
2/8/2019,T7-20,Dinophysis acuminata,0,Dinophysis spp.
2/8/2019,T7-20,Dinophysis fortii,0,Dinophysis spp.
2/8/2019,T7-20,Dinophysis norvegica,0,Dinophysis spp.
2/8/2019,T7-20,Dinophysis parva,0,Dinophysis spp.
2/8/2019,T7-20,Diplopeltopsis sp.,0,unknown dinoflagellate
2/8/2019,T7-20,Dissodinium pseudolumula,0,unknown dinoflagellate
2/8/2019,T7-20,Gonyaulax digitale,0,Gonyaulax spp.
2/8/2019,T7-20,Gonyaulax spinifera,0.63,Gonyaulax spp.
2/8/2019,T7-20,Gymnodinium spp.,0,unknown dinoflagellate
2/8/2019,T7-20,Gyrodinium sp.,0,unknown dinoflagellate
2/8/2019,T7-20,Heterocapsa triquetra,0,Heterocapsa triquetra
2/8/2019,T7-20,Noctiluca scintillans,0,Noctiluca scintillans
2/8/2019,T7-20,Phalacroma rotundatum,0,unknown dinoflagellate
2/8/2019,T7-20,Polykrikos schwarzii,0,unknown dinoflagellate
2/8/2019,T7-20,Prorocentrum gracile,0,Prorocentrum spp.
2/8/2019,T7-20,Prorocentrum micans,0,Prorocentrum spp.
2/8/2019,T7-20,Prorocentrum minimum,0,Prorocentrum spp.
2/8/2019,T7-20,Proroceratium reticulatum,0,unknown dinoflagellate
2/8/2019,T7-20,Protoperidinium bipes,0,Protoperidinium spp.
2/8/2019,T7-20,Protoperidinium spp.,0,Protoperidinium spp.
2/8/2019,T7-20,Pyrophacus horologium,0,unknown dinoflagellate
2/8/2019,T7-20,Scrippsiella trochoidea,0,Scrippsiella spp.
2/8/2019,T7-20,small dino,0,unknown dinoflagellate
2/8/2019,T7-20,Torodinium robustum,0,unknown dinoflagellate
2/8/2019,T7-20,Dictyocha speculum,5.63,Dictyocha spp.
2/8/2019,T7-20,Mesodinium rubrum,0,Mesodinium rubrum
2/8/2019,T7-20,naked ciliates,0,naked ciliates
2/8/2019,T7-20,tintinnids,0,tintinnids
2/8/2019,T7-20,Euglena,0,Euglena
2/8/2019,T6-5,Achnanthes spp.,0,unknown pennate diatom
2/8/2019,T6-5,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
2/8/2019,T6-5,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
2/8/2019,T6-5,Asterionellopsis glacialis,0,Asterionellopsis spp.
2/8/2019,T6-5,Asterionellopsis socialis,0,Asterionellopsis spp.
2/8/2019,T6-5,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
2/8/2019,T6-5,Bacteriastrum spp.,0,Bacteriastrum spp.
2/8/2019,T6-5,Bacillaria paxilli,0,Bacillaria spp.
2/8/2019,T6-5,Cerataulina pelagica,0,Cerataulina spp.
2/8/2019,T6-5,Chaetoceros spp.,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros affinis,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros convolutus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros contortus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros danicus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros debilis,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros decipiens,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros didymus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros laciniosus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros lorenzianus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros radicans,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros rostratus,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros socialis,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros similis,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros subtilis,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros teres,0,Chaetoceros spp.
2/8/2019,T6-5,Chaetoceros vanheurckii,0,Chaetoceros spp.
2/8/2019,T6-5,Coscinodiscus spp.,2.5,Coscinodiscus spp.
2/8/2019,T6-5,Corethron sp.,0,Corethron sp.
2/8/2019,T6-5,Cylindrotheca closterium,1.25,Cylindrotheca closterium
2/8/2019,T6-5,Dactyliosolen fragilissimus,0,unknown pennate diatom
2/8/2019,T6-5,Dactyliosolen blavyanus,0,unknown pennate diatom
2/8/2019,T6-5,Ditylium brightwellii,0,Ditylium spp.
2/8/2019,T6-5,Detonula pumila,0,Detonula spp.
2/8/2019,T6-5,Eucampia zodiacus,0,Eucampia spp.
2/8/2019,T6-5,Fragilariopsis spp.,0,Fragilariopsis spp.
2/8/2019,T6-5,Grammatophora spp.,0,Grammatophora spp.
2/8/2019,T6-5,Guinardia delicatula,0,Guinardia spp.
2/8/2019,T6-5,Guinardia striata,0,Guinardia spp.
2/8/2019,T6-5,Leptocylindrus danicus,0,Leptocylindrus spp.
2/8/2019,T6-5,Leptocylindrus minimum,0,Leptocylindrus spp.
2/8/2019,T6-5,Licmophora spp.,0,Licmophora spp.
2/8/2019,T6-5,Melosira moniliformis,0,Melosira spp.
2/8/2019,T6-5,Navicula spp.,0,Navicula spp.
2/8/2019,T6-5,Nitzschia spp.,0.63,Nitzschia spp.
2/8/2019,T6-5,Odontella spp.,0,Odontella spp.
2/8/2019,T6-5,Paralia sulcata,0,unknown centric diatom (chain forming)
2/8/2019,T6-5,Pinnulia sp.,0,unknown pennate diatom
2/8/2019,T6-5,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
2/8/2019,T6-5,Pleurosigma sp.,0.63,Pleurosigma spp.
2/8/2019,T6-5,Proboscia alata,0,unknown pennate diatom
2/8/2019,T6-5,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
2/8/2019,T6-5,Pseudo-nitzschia deli/p-deli,0,Pseudo-nitzschia spp.
2/8/2019,T6-5,Pseudo-nitzschia multi/pung,0,Pseudo-nitzschia spp.
2/8/2019,T6-5,Rhizosolenia setigera,0,Rhizosolenia spp.
2/8/2019,T6-5,Rhizosolenia styliformis,0,Rhizosolenia spp.
2/8/2019,T6-5,Rhizosolenia sp.,0,Rhizosolenia spp.
2/8/2019,T6-5,Skeletonema costatum,0,Skeletonema spp.
2/8/2019,T6-5,Surirella spp.,0,unknown pennate diatom
2/8/2019,T6-5,Stephanopyxis spp.,0,Stephanopyxis spp.
2/8/2019,T6-5,Synedra sp.,0,unknown pennate diatom
2/8/2019,T6-5,Thalassionema nitzschioides,0,Thalassionema spp.
2/8/2019,T6-5,Thalassiosira spp.,0,Thalassiosira spp.
2/8/2019,T6-5,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
2/8/2019,T6-5,Thalassiosira rotula,0,Thalassiosira spp.
2/8/2019,T6-5,Thalassiothrix longissum,0,unknown pennate diatom
2/8/2019,T6-5,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
2/8/2019,T6-5,Pennate diatoms,1.25,unknown pennate diatom
2/8/2019,T6-5,Akashiwa sanguinea,0,unknown dinflagellate
2/8/2019,T6-5,Alexandrium spp.,0,Alexandrium spp.
2/8/2019,T6-5,Ceratium azoricum,0,unknown dinflagellate
2/8/2019,T6-5,Ceratium fusus,0,Ceratium fusus
2/8/2019,T6-5,Ceratium horridum,0,unknown dinflagellate
2/8/2019,T6-5,Ceratium lineatum,0,unknown dinflagellate
2/8/2019,T6-5,Ceratium longipes,0,Ceratium longipes
