Collected as part of GulfWatch on predefined stations in Kachemak Bay concurrent with zooplankton and CTD
station,Date,time,Latitude_DD,Longitude_DD,Transect,StationN,Alexandrium.spp.,Asterionellopsis.spp.,Bacillaria.spp.,Bacteriastrum.spp.,Bacteriosira.spp.,Centric.diatoms,Cerataulina.spp.,Ceratium.furca,Ceratium.fusus,Ceratium.longipes,Chaetoceros.spp.,Coccolithophore.spp.,Cocconeis.sp.,Corethron.sp.,Corethron.spp.,Coscinodiscus.joneisanus,Coscinodiscus.spp.,Cylindrotheca.closterium,Detonula.spp.,Dictyocha.fibula,Dictyocha.spp.,Dinophysis.spp.,Ditylium.spp.,Ditylum.spp.,Entomoneis.spp.,Eucampia.spp.,Euglena,Fragilariopsis.spp.,Gonyaulax.spp.,Gonyaulax.vetor,Grammatophora.spp.,Guinardia.spp.,Hemiaulus.spp.,Heterocapsa.spp.,Heterocapsa.triquetra,Karenia.mikimotoi,Karenia.sp.,Kofoidinium.sp.,Lauderia.annulata,Lauderia.spp.,Leptocylindrus.medditerium,Leptocylindrus.spp.,Licmophora.spp.,Licomorpha.spp.,Lioloma.spp.,Melosira.spp.,Mesodinium.rubrum,naked.ciliates,Navicula.spp.,Nitzschia.spp.,Noctiluca.scintillans,Odontella.aurita,Odontella.spp.,Planktoniella.sol,Pleurosigma.spp.,Prorocentrum.lima,Prorocentrum.micans,Prorocentrum.spp.,Protoperidinium.spp.,Pseudo.nitzschia.spp.,Rhizosolenia.spp.,Scrippsiella,Scrippsiella.spp.,Skeletonema.spp.,Stephanopyxis.spp.,Striatella.spp.,Thalassionema.spp.,Thalassiosira.spp.,Thalassiosira.subtilis,tintinnids,unknown.centric.diatom..chain.forming.,unknown.centric.diatom..non.chain.forming.,unknown.dinflagellate,unknown.dinoflagellate,unknown.pennate.diatom
Jakolof_Dock,2012-05-30,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,302379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4998,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499,0,12495,0,0,0,0,0,0,0
Jakolof_Dock,2012-06-04,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,402339,0,0,0,2499,0,0,0,0,0,2499,0,0,0,0,4998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14994,9996,0,0,0,0,0,0,0,0,0,0,2499,0,0,27489,0,0,4998,37485,0,0,0,0,0,0,0
Jakolof_Dock,2012-06-12,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,4331.6,0,0,0,0,0,1009262.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6497.4,0,0,0,0,0,6497.4,0,0,0,0,0,0,0,0,0,2165.8,0,0,0,0,0,0,8663.2,6497.4,0,0,0,0,0,2165.8,0,0,0,10829,0,0,0,17326.4,0,0,0,67139.8,0,0,0,0,0,0,0
Jakolof_Dock,2012-06-21,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,423830.4,0,0,0,0,0,10662.4,0,0,0,0,0,0,0,0,0,0,5331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85299.2,0,0,0,0,0,0,0
Jakolof_Dock,2012-06-28,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,1037085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165,0,0,0,0,0,0,0,33320,0,0,0,0,0,0,0,4165,0,0,0,0,0,0,0,0,4165,0,0,8330,0,0,0,0,0,162435,0,0,0,0,0,0,0
Jakolof_Dock,2012-07-13,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,57715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-07-27,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,137445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-08-17,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,27370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-08-31,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,7140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-09-07,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-09-14,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14577.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-09-28,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-10-05,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677.5,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0
Jakolof_Dock,2012-10-26,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,743.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-11-30,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-12-18,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,99.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-03-14,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-04-05,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,3570,0,0,0,0,0,0,0
Jakolof_Dock,2013-04-10,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,1190,0,0,0,0,0,0,0,0,1190,595,0,0,0,0,0,0,0,3570,0,0,3570,7140,0,0,0,0,0,0,0
Jakolof_Dock,2013-04-12,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,595,0,0,0,0,0,0,2975,0,0,0,0,0,0,0
Jakolof_Dock,2013-04-16,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,12197.5,0,0,0,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,297.5,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-07,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,1361062.5,0,0,0,0,0,0,0,3421.25,0,0,0,0,0,0,0,0,2231.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4908.75,0,0,0,446.25,0,0,446.25,892.5,0,0,0,0,0,0,0,0,0,8925,446.25,0,0,1785,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-10,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,673242.5,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,297.5,0,0,0,0,0,0,0,0,892.5,0,10115,297.5,0,0,3867.5,0,0,0,1785,0,0,0,0,0,0,595
Jakolof_Dock,2013-06-14,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,287087.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,297.5,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-17,,59.4657,-151.536,land,Jackolof_Dock,595,0,0,0,0,0,0,0,0,0,344207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10412.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,892.5,1785,892.5,0,0,0,0,3867.5,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-21,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,297.5,0,0,278162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975,595,0,595,0,0,2380,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-24,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,160650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,297.5,0,297.5,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-06-26,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,167195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11305,0,0,0,0,0,0,595,0,0,0,0,0,297.5,0,0,0,595,2082.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-01,,59.4657,-151.536,land,Jackolof_Dock,148.75,0,0,0,0,0,0,148.75,0,0,35700,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-01,,59.4657,-151.536,land,Jackolof_Dock,148.75,0,0,0,0,0,0,148.75,0,0,35700,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-03,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,120487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,148.75,743.75,446.25,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-07,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,148.75,0,0,65450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,1785,0,0,0,0,0,0,0,0,0,32130,0,0,0,0,0,0,743.75,0,0,0,0,0,0,0,0,0,0,2231.25,297.5,0,0,1933.75,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-08,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,113050,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9371.25,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,595,5206.25,297.5,446.25,0,0,1487.5,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-10,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,168087.5,0,0,0,0,0,297.5,0,0,0,297.5,297.5,0,0,0,0,0,3272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,31832.5,0,0,0,0,0,0,2082.5,0,0,0,0,0,0,0,0,0,0,3570,297.5,892.5,0,0,0,0,0,892.5,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-15,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,130900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,17701.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,446.25,3867.5,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-22,,59.4657,-151.536,land,Jackolof_Dock,0,297.5,0,0,0,0,0,0,0,148.75,139825,0,0,0,0,0,0,297.5,0,0,148.75,297.5,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,30940,0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,1190,743.75,4908.75,446.25,0,0,0,743.75,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-07-29,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,48343.75,0,0,0,0,0,892.5,297.5,0,0,595,743.75,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31981.25,0,0,0,0,0,0,148.75,0,148.75,0,0,0,0,0,0,0,0,12941.25,446.25,446.25,0,0,0,0,595,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-08-02,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,892.5,297.5,0,446.25,52806.25,0,0,0,0,0,892.5,446.25,0,0,892.5,297.5,0,0,0,0,0,1487.5,0,0,0,0,0,446.25,0,0,0,0,0,0,0,19783.75,0,297.5,743.75,3421.25,0,0,1338.75,0,0,0,0,0,0,0,0,0,0,27370,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-08-09,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,4016.25,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-08-14,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,446.25,0,0,0,0,148.75,0,2082.5,0,0,0,0,0,0,0,0,0,148.75,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,1338.75,0,0,0,0,0,0,0,0,0,0,0,0,297.5,3570,0,0,0,0,0,0,0,1933.75,0,0,0,0,0,0,0
Jakolof_Dock,2013-08-23,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,595,0,0,0,0,148.75,0,446.25,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-08-30,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,2082.5,0,0,0,2380,1785,3272.5,0,0,0,0,0,0,0,0,0,0,13387.5,297.5,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1933.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-09-13,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,446.25,0,0,0,0,0,0,6098.75,0,0,0,0,0,0,0,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,297.5,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-09-20,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,297.5,0,0,12346.25,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,595,0,0,0,0,0,0,0,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2013-09-27,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,3570,297.5,0,14577.5,0,0,0,0,0,297.5,0,0,0,743.75,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,29601.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082.5,0,892.5,0,0,0,0,0,892.5,446.25,0,0,0,0,0,0,0
Jakolof_Dock,2013-10-25,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,446.25,0,0,1041.25,0,0,0,0,0,297.5,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2014-04-23,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,9668.75,0,0,0,2826.25,0,0,0,0,0,0,0
Jakolof_Dock,2014-05-09,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,489387.5,0,0,0,0,0,0,148.75,0,0,148.75,0,0,0,148.75,892.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4313.75,0,0,0,40608.75,0,0,1636.25,79135,0,0,0,0,0,0,0
Jakolof_Dock,2014-05-15,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,695406.25,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.5,0,0,0,0,0,0,0,0,0,0,446.25,595,0,0,0,3867.5,0,0,37782.5,0,0,0,0,0,0,0
Jakolof_Dock,2014-06-06,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,313118.75,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,2380,297.5,0,0,3570,0,0,0,446.25,0,0,0,0,0,0,0
