Station,Date,Depth_m,Replicate,NH3_mg.L,NH3_MDL_mg.L,NOx_mg.L,NOx_MDL_mg.L,O-PO4_mg.L,O-PO4_MDL_mg.L,Si_mg.L,Si_MDL_mg.L,CHLA_N_ug/L,CHLA_N_MDL_ug/L
6_4,2021-02-16,94,1,0,0.0062,0.2314,0.0055,0.0155,0.0016,0.7222,0.062,0.276,0.001
6_4,2021-02-16,94,2,0,0.0062,0.2332,0.0055,0.015,0.0016,0.7248,0.062,0.278,0.001
AlongBay_3,2021-03-23,0,1,0.0631,0.0062,0.2347,0.0055,0.0381,0.0016,0.6337,0.062,0.725,0.001
AlongBay_3,2021-03-23,0,2,0.0033,0.0062,0.2295,0.0055,0.0327,0.0016,0.6281,0.062,0.595,0.001
AlongBay_3,2021-03-23,102,1,7e-4,0.0062,0.2383,0.0055,0.0348,0.0016,0.6442,0.062,0.603,0.001
AlongBay_3,2021-03-23,102,2,0,0.0062,0.2379,0.0055,0.0378,0.0016,0.6537,0.062,0.464,0.001
AlongBay_6,2021-03-23,0,1,0.002,0.0062,0.2306,0.0055,0.0338,0.0016,0.642,0.062,0.402,0.001
AlongBay_6,2021-03-23,0,2,8e-4,0.0062,0.2275,0.0055,0.034,0.0016,0.6379,0.062,0.417,0.001
AlongBay_6,2021-03-23,94,1,0.0069,0.0062,0.2405,0.0055,0.0369,0.0016,0.6485,0.062,0.38,0.001
AlongBay_6,2021-03-23,94,2,0.002,0.0062,0.237,0.0055,0.0349,0.0016,0.6421,0.062,0.673,0.001
AlongBay_10,2021-03-23,0,1,0.0037,0.0062,0.2061,0.0055,0.0303,0.0016,0.5577,0.062,0.32,0.001
AlongBay_10,2021-03-23,0,2,0.0035,0.0062,0.2057,0.0055,0.0309,0.0016,0.5552,0.062,0.322,0.001
AlongBay_10,2021-03-23,22,1,0,0.0062,0.2297,0.0055,0.0332,0.0016,0.6315,0.062,0.777,0.001
AlongBay_10,2021-03-23,22,2,0.0075,0.0062,0.2309,0.0055,0.0371,0.0016,0.645,0.062,0.856,0.001
AlongBay_3,2021-04-16,0,1,0,0.0062,0.1994,0.0055,0.0265,0.0016,0.615,0.062,1.19,0.001
AlongBay_3,2021-04-16,0,2,0,0.0062,0.1969,0.0055,0.0268,0.0016,0.6262,0.062,1.495,0.001
AlongBay_3,2021-04-16,99,1,0,0.0062,0.2371,0.0055,0.0314,0.0016,0.7379,0.062,0.644,0.001
AlongBay_3,2021-04-16,99,2,0,0.0062,0.2322,0.0055,0.0316,0.0016,0.7278,0.062,0.729,0.001
AlongBay_6,2021-04-16,0,1,0,0.0062,0.2079,0.0055,0.0275,0.0016,0.6992,0.062,0.335,0.001
AlongBay_6,2021-04-16,0,2,0,0.0062,0.2073,0.0055,0.0244,0.0016,0.6745,0.062,0.379,0.001
AlongBay_6,2021-04-16,93,1,0,0.0062,0.2322,0.0055,0.029,0.0016,0.6893,0.062,0.498,0.001
AlongBay_6,2021-04-16,93,2,0,0.0062,0.2338,0.0055,0.0308,0.0016,0.6937,0.062,0.844,0.001
AlongBay_10,2021-04-16,0,1,0,0.0062,0.2052,0.0055,0.0269,0.0016,0.6368,0.062,0.833,0.001
AlongBay_10,2021-04-16,0,2,0,0.0062,0.2042,0.0055,0.0272,0.0016,0.6469,0.062,0.577,0.001
AlongBay_10,2021-04-16,55,1,0,0.0062,0.2178,0.0055,0.0295,0.0016,0.6635,0.062,0.644,0.001
AlongBay_10,2021-04-16,55,2,0,0.0062,0.216,0.0055,0.0294,0.0016,0.6657,0.062,0.874,0.001
3_13,2021-04-16,0,1,0,0.0062,0.205,0.0055,0.0269,0.0016,0.6036,0.062,3.486,0.001
3_13,2021-04-16,0,2,0,0.0062,0.2085,0.0055,0.0285,0.0016,0.6154,0.062,1.972,0.001
3_13,2021-04-16,NA,1,0,0.0062,0.2078,0.0055,0.0287,0.0016,0.6245,0.062,2.392,0.001
3_13,2021-04-16,NA,2,0,0.0062,0.2067,0.0055,0.0285,0.0016,0.6317,0.062,2.005,0.001
6_11,2021-05-01,0,1,0.0027,0.0062,0.2209,0.0055,0.0313,0.0016,0.6456,0.062,0.472,0.001
6_11,2021-05-01,0,2,0.0134,0.0062,0.2152,0.0055,0.0331,0.0016,0.64,0.062,0.402,0.001
6_25,2021-05-01,0,1,0.0019,0.0062,0.2084,0.0055,0.027,0.0016,0.6448,0.062,0.978,0.001
6_25,2021-05-01,0,2,0.0039,0.0062,0.2209,0.0055,0.0309,0.0016,0.6848,0.062,0.83,0.001
AlongBay_3,2021-05-23,0,1,0.0024,0.0062,0.1282,0.0055,0.0228,0.0016,0.4424,0.062,0.331,0.001
AlongBay_3,2021-05-23,0,2,0.0234,0.0062,0.126,0.0055,0.0262,0.0016,0.4309,0.062,0.35,0.001
AlongBay_3,2021-05-23,NA,1,0.0458,0.0062,0.1733,0.0055,0.0367,0.0016,0.4934,0.062,1.566,0.001
AlongBay_3,2021-05-23,NA,2,0.2641,0.0062,0.1815,0.0055,0.0405,0.0016,0.5296,0.062,1.097,0.001
AlongBay_6,2021-05-23,0,1,0.0316,0.0062,0.0233,0.0055,0.0079,0.0016,0.3362,0.062,1.198,0.001
AlongBay_6,2021-05-23,0,2,0.6824,0.0062,0.0208,0.0055,0.0302,0.0016,0.1805,0.062,1.179,0.001
AlongBay_6,2021-05-23,NA,1,0.1833,0.0062,0.1811,0.0055,0.0347,0.0016,0.5188,0.062,0.476,0.001
AlongBay_6,2021-05-23,NA,2,0.1708,0.0062,0.1852,0.0055,0.038,0.0016,0.5373,0.062,0.368,0.001
AlongBay_10,2021-05-23,0,1,0.0311,0.0062,0,0.0055,1e-4,0.0016,0.3718,0.062,1.54,0.001
AlongBay_10,2021-05-23,0,2,0.0106,0.0062,0,0.0055,0,0.0016,0.3728,0.062,1.235,0.001
AlongBay_10,2021-05-23,NA,1,0.0431,0.0062,0.183,0.0055,0.0341,0.0016,0.5665,0.062,0.714,0.001
AlongBay_10,2021-05-23,NA,2,0.0471,0.0062,0.1889,0.0055,0.0339,0.0016,0.5837,0.062,0.428,0.001
AlongBay_3,2021-06-21,0,1,0,0.0062,0,0.0055,0,0.0016,0.1483,0.062,1.514,0.001
AlongBay_3,2021-06-21,0,2,0.0089,0.0062,0,0.0055,0.0027,0.0016,0.1943,0.062,3.274,0.001
AlongBay_3,2021-06-21,101,1,0.0478,0.0062,0.1188,0.0055,0.03,0.0016,0.5887,0.062,0.465,0.001
AlongBay_3,2021-06-21,101,2,0.0722,0.0062,0.1174,0.0055,0.0304,0.0016,0.5441,0.062,0.472,0.001
AlongBay_6,2021-06-21,0,1,5e-4,0.0062,0,0.0055,0.0015,0.0016,0.2032,0.062,1.38,0.001
AlongBay_6,2021-06-21,0,2,0,0.0062,0.1356,0.0055,0.0331,0.0016,0.663,0.062,1.257,0.001
AlongBay_6,2021-06-21,93,1,0.0904,0.0062,0,0.0055,0,0.0016,0.2616,0.062,0.372,0.001
AlongBay_6,2021-06-21,93,2,0.0675,0.0062,0.1326,0.0055,0.0311,0.0016,0.549,0.062,0.342,0.001
AlongBay_10,2021-06-21,0,1,0,0.0062,8e-4,0.0055,0,0.0016,0.1647,0.062,0.744,0.001
AlongBay_10,2021-06-21,0,2,0.0038,0.0062,0.001,0.0055,0,0.0016,0.1617,0.062,0.785,0.001
AlongBay_10,2021-06-21,52,1,0.0934,0.0062,0.1322,0.0055,0.0312,0.0016,0.537,0.062,0.275,0.001
AlongBay_10,2021-06-21,52,2,0.0545,0.0062,0.1323,0.0055,0.03,0.0016,0.5286,0.062,0.349,0.001
AlongBay_3,2021-07-16,0,1,0.0019,0.0062,0.0656,0.0055,0.0128,0.0016,0.3199,0.062,1.001,0.001
AlongBay_3,2021-07-16,0,2,0.0023,0.0062,0.0708,0.0055,0.0133,0.0016,0.3316,0.062,2.303,0.001
AlongBay_3,2021-07-16,NA,1,0.0638,0.0062,0.0947,0.0055,0.0269,0.0016,0.4379,0.062,0.595,0.001
AlongBay_3,2021-07-16,NA,2,0.0862,0.0062,0.0933,0.0055,0.0235,0.0016,0.4214,0.062,0.502,0.001
AlongBay_6,2021-07-16,0,1,0,0.0062,0,0.0055,0,0.0016,0.0892,0.062,2.809,0.001
AlongBay_6,2021-07-16,0,2,0,0.0062,0.0019,0.0055,0,0.0016,0.0778,0.062,1.715,0.001
AlongBay_6,2021-07-16,NA,1,0.0472,0.0062,0.0941,0.0055,0.0224,0.0016,0.464,0.062,0.498,0.001
AlongBay_6,2021-07-16,NA,2,0.0463,0.0062,0.0924,0.0055,0.0232,0.0016,0.44,0.062,0.536,0.001
3_13,2021-07-16,0,1,0.0341,0.0062,0.0472,0.0055,0.0189,0.0016,0.2475,0.062,2.21,0.001
3_13,2021-07-16,0,2,0.0482,0.0062,0.0587,0.0055,0.0213,0.0016,0.2553,0.062,2.042,0.001
3_13,2021-07-16,NA,1,0.1164,0.0062,0.0568,0.0055,0.0399,0.0016,0.2769,0.062,3.002,0.001
3_13,2021-07-16,NA,2,0.0145,0.0062,0.0503,0.0055,0.0159,0.0016,0.2909,0.062,2.258,0.001
AlongBay_10,2021-07-21,0,1,0.0069,0.0062,0.027,0.0055,0.0104,0.0016,0.3081,0.062,2.596,0.001
AlongBay_10,2021-07-21,0,2,0.0445,0.0062,0.0281,0.0055,0,0.0016,0.3153,0.062,1.562,0.001
AlongBay_10,2021-07-21,57,1,0.0707,0.0062,0.0802,0.0055,0.0245,0.0016,0.387,0.062,2.474,0.001
AlongBay_10,2021-07-21,57,2,0.0359,0.0062,0.083,0.0055,0.0182,0.0016,0.373,0.062,3.742,0.001
6_3,2021-07-21,0,1,0.0199,0.0062,0.0842,0.0055,0.0128,0.0016,0.4124,0.062,4.608,0.001
6_3,2021-07-21,0,2,0.0664,0.0062,0.0875,0.0055,0.0157,0.0016,0.3898,0.062,2.019,0.001
6_3,2021-07-21,91,1,0.0112,0.0062,0.1707,0.0055,0.0251,0.0016,0.4701,0.062,1.168,0.001
6_3,2021-07-21,91,2,0.0037,0.0062,0.1753,0.0055,0.0253,0.0016,0.5145,0.062,0.77,0.001
AlongBay_3,2021-08-17,0,1,0.0424,0.0062,0.0456,0.0055,0.0149,0.0016,0.2391,0.062,3.809,0.001
AlongBay_3,2021-08-17,0,2,0.039,0.0062,0.0449,0.0055,0.0166,0.0016,0.2453,0.062,2.786,0.001
AlongBay_3,2021-08-17,98,1,0.0993,0.0062,0.087,0.0055,0.0318,0.0016,0.575,0.062,0.696,0.001
AlongBay_3,2021-08-17,98,2,0.1086,0.0062,0.0876,0.0055,0.0327,0.0016,0.5813,0.062,0.391,0.001
AlongBay_6,2021-08-17,0,1,0.018,0.0062,0,0.0055,3e-4,0.0016,0.1138,0.062,2.243,0.001
AlongBay_6,2021-08-17,0,2,0.0192,0.0062,0,0.0055,0,0.0016,0.1137,0.062,1.704,0.001
AlongBay_6,2021-08-17,93,1,0.0991,0.0062,0.0843,0.0055,0.0294,0.0016,0.515,0.062,0.449,0.001
AlongBay_6,2021-08-17,93,2,0.1001,0.0062,0.0812,0.0055,0.0299,0.0016,0.4826,0.062,0.295,0.001
AlongBay_10,2021-08-17,0,1,0.018,0.0062,0,0.0055,0,0.0016,0.0972,0.062,3.478,0.001
AlongBay_10,2021-08-17,0,2,0.0155,0.0062,0,0.0055,0,0.0016,0.0963,0.062,2.928,0.001
AlongBay_10,2021-08-17,54,1,0.0834,0.0062,0.0624,0.0055,0.028,0.0016,0.3753,0.062,0.662,0.001
AlongBay_10,2021-08-17,54,2,0.0789,0.0062,0.0618,0.0055,0.0242,0.0016,0.368,0.062,0.298,0.001
4_4,2021-09-17,0,1,0.0627,0.0062,0.104,0.0055,0.0321,0.0016,0.4287,0.062,NA,NA
4_4,2021-09-17,0,2,0.0523,0.0062,0.1029,0.0055,0.0306,0.0016,0.4334,0.062,NA,NA
4_4,2021-09-17,79,1,0.0864,0.0062,0.122,0.0055,0.0389,0.0016,0.5645,0.062,NA,NA
4_4,2021-09-17,79,2,0.0821,0.0062,0.1209,0.0055,0.0398,0.0016,0.5698,0.062,NA,NA
9_6,2021-09-17,0,1,0.0488,0.0062,0.0401,0.0055,0.023,0.0016,0.4037,0.062,NA,NA
9_6,2021-09-17,0,2,0.0495,0.0062,0.0396,0.0055,0.0238,0.0016,0.3939,0.062,NA,NA
9_6,2021-09-17,90,1,0.1052,0.0062,0.1253,0.0055,0.0414,0.0016,0.5484,0.062,NA,NA
9_6,2021-09-17,90,2,0.0718,0.0062,0.115,0.0055,0.039,0.0016,0.5332,0.062,NA,NA
AlongBay_10,2021-10-04,0,1,0.0477,0.0062,0.0991,0.0055,0.0317,0.0016,0.4046,0.062,6.101,0.001
AlongBay_10,2021-10-04,0,2,0.0551,0.0062,0.0984,0.0055,0.0309,0.0016,0.4096,0.062,3.538,0.001
AlongBay_10,2021-10-04,53,1,0.0559,0.0062,0.1452,0.0055,0.0385,0.0016,0.5124,0.062,1.22,0.001
AlongBay_10,2021-10-04,53,2,0.0454,0.0062,0.1485,0.0055,0.0386,0.0016,0.5364,0.062,1.142,0.001
6_2,2021-10-05,0,1,0.0427,0.0062,0.0882,0.0055,0.0254,0.0016,0.3719,0.062,2.946,0.001
6_2,2021-10-05,0,2,0.0381,0.0062,0.0883,0.0055,0.0261,0.0016,0.3717,0.062,1.96,0.001
6_2,2021-10-05,34,1,0.0345,0.0062,0.0562,0.0055,0.0217,0.0016,0.3175,0.062,1.782,0.001
6_2,2021-10-05,34,2,0.0398,0.0062,0.0579,0.0055,0.0215,0.0016,0.3326,0.062,2.169,0.001
AlongBay_3,2021-10-21,0,1,0.0231,0.0062,0.1287,0.0055,0.0369,0.0016,0.4454,0.062,2.671,0.001
AlongBay_3,2021-10-21,0,2,0.0246,0.0062,0.1309,0.0055,0.0346,0.0016,0.4323,0.062,1.693,0.001
AlongBay_3,2021-10-21,104,1,0.0243,0.0062,0.1638,0.0055,0.0419,0.0016,0.5555,0.062,0.684,0.001
AlongBay_3,2021-10-21,104,2,0.0247,0.0062,0.1669,0.0055,0.0424,0.0016,0.5596,0.062,0.569,0.001
AlongBay_6,2021-10-21,0,1,0.0428,0.0062,0.1372,0.0055,0.0355,0.0016,0.5121,0.062,0.96,0.001
AlongBay_6,2021-10-21,0,2,0.0402,0.0062,0.1384,0.0055,0.042,0.0016,0.5175,0.062,0.885,0.001
AlongBay_6,2021-10-21,87,1,0.0274,0.0062,0.1656,0.0055,0.0429,0.0016,0.5653,0.062,0.368,0.001
AlongBay_6,2021-10-21,87,2,0.03,0.0062,0.1648,0.0055,0.0428,0.0016,0.5429,0.062,0.558,0.001
AlongBay_10,2021-10-21,0,1,0.0343,0.0062,0.1583,0.0055,0.0436,0.0016,0.5549,0.062,0.349,0.001
AlongBay_10,2021-10-21,0,2,0.0372,0.0062,0.1591,0.0055,0.0478,0.0016,0.5497,0.062,0.415,0.001
AlongBay_10,2021-10-21,57,1,0.0367,0.0062,0.1697,0.0055,0.0449,0.0016,0.5525,0.062,0.269,0.001
AlongBay_10,2021-10-21,57,2,0.0339,0.0062,0.1716,0.0055,0.0447,0.0016,0.5447,0.062,0.257,0.001
AlongBay_3,2021-11-14,0,1,0.0067,0.0062,0.1688,0.0055,0.0328,0.0016,0.4743,0.062,0.517,0.001
AlongBay_3,2021-11-14,0,2,0.0142,0.0062,0.1649,0.0055,0.0336,0.0016,0.474,0.062,0.8,0.001
AlongBay_3,2021-11-14,101,1,0.0029,0.0062,0.2004,0.0055,0.0367,0.0016,0.5264,0.062,0.376,0.001
AlongBay_3,2021-11-14,101,2,0.0041,0.0062,0.1916,0.0055,0.0364,0.0016,0.5191,0.062,0.275,0.001
AlongBay_6,2021-11-14,0,1,0.031,0.0062,0.1654,0.0055,0.0483,0.0016,0.5328,0.062,0.495,0.001
AlongBay_6,2021-11-14,0,2,0.0093,0.0062,0.1639,0.0055,0.038,0.0016,0.5347,0.062,0.584,0.001
AlongBay_6,2021-11-14,96,1,0.0077,0.0062,0.1969,0.0055,0.039,0.0016,0.5485,0.062,0.443,0.001
AlongBay_6,2021-11-14,96,2,0.0073,0.0062,0.186,0.0055,0.0352,0.0016,0.5173,0.062,0.368,0.001
AlongBay_10,2021-11-14,0,1,0.0107,0.0062,0.1684,0.0055,0.0324,0.0016,0.5298,0.062,0.358,0.001
AlongBay_10,2021-11-14,0,2,0.0169,0.0062,0.1711,0.0055,0.0365,0.0016,0.537,0.062,0.381,0.001
AlongBay_10,2021-11-14,54,1,0.0184,0.0062,0.1888,0.0055,0.0374,0.0016,0.554,0.062,0.183,0.001
AlongBay_10,2021-11-14,54,2,0.0295,0.0062,0.1829,0.0055,0.0365,0.0016,0.5578,0.062,0.356,0.001
AlongBay_3,2021-12-18,0,1,0.0249,0.0062,0.1964,0.0055,0.0388,0.0016,0.5927,0.062,0.359,0.001
AlongBay_3,2021-12-18,0,2,0.0196,0.0062,0.1982,0.0055,0.0379,0.0016,0.5813,0.062,0.445,0.001
AlongBay_3,2021-12-18,103,1,0.02,0.0062,0.2034,0.0055,0.0375,0.0016,0.6016,0.062,0.413,0.001
AlongBay_3,2021-12-18,103,2,0.02,0.0062,0.2008,0.0055,0.0375,0.0016,0.5967,0.062,0.433,0.001
AlongBay_6,2021-12-18,0,1,0.0233,0.0062,0.1925,0.0055,0.0388,0.0016,0.5669,0.062,0.339,0.001
AlongBay_6,2021-12-18,0,2,0.0246,0.0062,0.1949,0.0055,0.0376,0.0016,0.5832,0.062,0.311,0.001
AlongBay_6,2021-12-18,96,1,0.0242,0.0062,0.2023,0.0055,0.0375,0.0016,0.6086,0.062,0.303,0.001
AlongBay_6,2021-12-18,96,2,0.0292,0.0062,0.2046,0.0055,0.038,0.0016,0.6091,0.062,0.167,0.001
AlongBay_10,2021-12-18,0,1,0.0295,0.0062,0.1987,0.0055,0.038,0.0016,0.6069,0.062,0.418,0.001
AlongBay_10,2021-12-18,0,2,0.03,0.0062,0.2022,0.0055,0.0374,0.0016,0.6099,0.062,0.12,0.001
AlongBay_10,2021-12-18,59,1,0.0288,0.0062,0.2041,0.0055,0.0376,0.0016,0.6182,0.062,0.299,0.001
AlongBay_10,2021-12-18,59,2,0.0315,0.0062,0.2022,0.0055,0.0376,0.0016,0.6095,0.062,0.03,0.001
