Vessel,Date,BeaufortScale,TransectEvent,Transect,WaveHeight,WindSpeed,comments
"Waters","2014-07-24 00:00",,149,"7",1,5,
"Barnacle","2014-08-13 00:00",,150,"4",1,3,
"Barnacle","2014-08-13 00:00",,151,"9",1,0,
"Barnacle","2014-09-25 00:00",,152,"9",1,0,
"Pandalus","2014-10-13 00:00",,153,"4",1,5,
"Pandalus","2014-10-13 00:00",,154,"3",2,5,
"Pandalus","2014-10-17 00:00",,155,"7",3,15,
"Pandalus","2014-10-18 00:00",,156,"6",2,8,
"Pandalus","2014-10-18 00:00",,157,"7",0,5,
"Pandalus","2014-10-19 00:00",,158,"9",1,5,
"Barnacle","2014-11-25 00:00",,160,"9",0,5,
,"2012-02-14 00:00",,165,"9",2,5,
,"2012-03-14 00:00",,166,"9",0,3,
,"2012-04-10 00:00",,167,"9",1,5,
,"2012-05-31 00:00",,169,"4",0,5,
,"2012-05-31 00:00",,170,"4",2,10,
,"2012-06-05 00:00",,171,"4",0,5,
,"2012-06-05 00:00",,172,"4",1,10,
,"2012-06-25 00:00",,173,"9",2,15,
,"2012-06-27 00:00",,174,"9",1,5,
,"2012-07-02 00:00",,175,"9",1,5,
,"2012-07-21 00:00",,176,"9",1,15,
,"2012-08-03 00:00",,177,"9",2,10,
"Barnacle","2012-08-15 00:00",,178,"9",1,2,
"Nuka","2012-08-15 00:00",,179,"4",1,5,
"Barnacle","2012-08-26 00:00",,180,"9",1,10,
,"2012-09-21 00:00",,181,"9",1,5,
,"2012-09-21 00:00",,182,"9",1,5,
"Nuka","2012-09-21 00:00",,183,"9",0,5,
"Nuka","2012-09-21 00:00",,184,"9",0,5,
"Nuka","2012-09-21 00:00",,185,"9",0,5,
"Johanna Rose","2012-09-21 00:00",,186,"9",1,15,
"Barnacle","2012-10-12 00:00",,187,"9",0,5,
"Barnacle","2014-12-17 00:00",,188,"9",1,10,
"Barnacle","2015-01-16 00:00",,193,"9",1,10,
"Pandalus","2015-02-12 00:00",,194,"9",1,5,
"Pandalus","2015-02-12 00:00",,195,"4",1,5,
"Pandalus","2015-02-22 00:00",,196,"3",1,5,
"Pandalus","2015-02-23 00:00",,197,"6",2,3,
"Pandalus","2015-02-24 00:00",,198,"7",1,5,
"Pandalus","2015-02-24 00:00",,199,"4",1,10,
"Pandalus","2015-02-24 00:00",,200,"9",1,10,
"Barnacle","2015-03-31 00:00",,201,"9",1,5,
"Pandalus","2015-04-08 00:00",,202,"4",1,10,
"Pandalus","2015-04-08 00:00",,203,"6",2,5,
"Pandalus","2015-04-08 00:00",,204,"9",1,20,
"Pandalus","2015-04-12 00:00",,205,"3",2,20,
"Pandalus","2015-04-13 00:00",,206,"7",1,10,
"Barnacle","2015-05-28 00:00",,207,"9",1,5,
"Barnacle","2015-06-26 00:00",,208,"9",1,10,
"Barnacle","2015-07-10 00:00",,209,"9",0,0,
"Barnacle","2015-07-29 00:00",,210,"9",1,10,
"Barnacle","2015-09-04 00:00",,211,"9",0,0,
"Edgecumbe","2015-09-24 00:00",,212,"9",0,0,
"Edgecumbe","2015-09-24 00:00",,213,"4",3,20,
"Edgecumbe","2015-10-19 00:00",,214,"9",2,5,
"Edgecumbe","2015-10-19 00:00",,215,"4",1,5,
"Ursus","2015-11-03 00:00",,216,"4",4,8,
"Ursus","2015-11-04 00:00",,217,"3",1,5,
"Ursus","2015-11-04 00:00",,218,"4",1,5,
"Ursus","2015-11-04 00:00",,219,"9",1,5,
"Edgecumbe","2015-12-10 00:00",,220,"9",1,5,
"Edgecumbe","2015-12-10 00:00",,221,"4",1,5,
"Nuka","2013-06-06 00:00",,222,"4",1,5,
"Barnacle","2013-06-06 00:00",,223,"9",1,5,
"Barnacle","2013-06-19 00:00",,224,"9",1,5,
"Edgecumbe","2016-01-07 00:00",,225,"9",1,5,
"Pandalus","2016-02-09 00:00",,226,"9",1,3,
"Pandalus","2016-02-09 00:00",,227,"4",1,4,
"Pandalus","2016-02-14 00:00",,228,"3",3,25,
"Pandalus","2016-02-15 00:00",,229,"6",1,5,
"Pandalus","2016-02-16 00:00",,230,"7",2,10,
"Barnacle","2016-04-07 00:00",,231,"9",2,10,
"Pandalus","2016-04-11 00:00",,232,"4",1,5,
"Pandalus","2016-04-11 00:00",,233,"3",1,5,
"Pandalus","2016-04-10 00:00",,234,"6",2,20,
"Edgecumbe","2016-05-12 00:00",,235,"9",1,5,
"Edgecumbe","2016-05-12 00:00",,236,"7",1,15,
"Edgecumbe","2016-05-12 00:00",,237,"4",1,15,
"Edgecumbe","2016-06-16 00:00",,238,"9",1,5,
,,,239,"9",,,
"Edgecumbe","2016-07-27 00:00",,240,"9",0,2,
"Edgecumbe","2016-07-27 00:00",,241,"4",1,5,
"Alaskan Dream","2016-08-30 00:00",,243,"7",4,10,
"Alaskan Dream","2016-08-29 00:00",,244,"3",1,0,
"Alaskan Dream","2016-08-31 00:00",,245,"6",0,0,
"Edgecumbe","2016-09-23 00:00",,246,"9",0,0,
"Edgecumbe","2016-10-13 00:00",,247,"9",0,0,
"Edgecumbe","2016-10-13 00:00",,248,"4",1,5,
"Edgecumbe","2016-11-10 00:00",,249,"9",1,15,
"Edgecumbe","2017-01-11 00:00",,250,"9",0,5,
"Edgecumbe","2017-02-07 00:00",,252,"9",1,10,
"Edgecumbe","2017-03-28 00:00",,262,"9",1,5,
"Dreamcatcher","2017-04-18 00:00",,263,"6",2,15,
"DreamCatcher","2017-04-19 00:00",,264,"3",1,5,
"Dreamcatcher","2017-04-19 00:00",,265,"7",1,5,
"Dreamcatcher","2017-04-20 00:00",,266,"4",1,10,
"Dreamcatcher","2017-04-20 00:00",,267,"9",0,0,
"Edgecumbe","2017-05-30 00:00",,268,"9",1,15,
"Dreamcatcher","2017-04-18 00:00",,269,"6",2,15,
"Edgecumbe","2017-07-25 00:00",,270,"3",2,10,
"Edgecumbe","2017-07-25 00:00",,271,"4",1,0,
"Edgecumbe","2017-10-17 00:00",,272,"4",,,
"Edgecumbe","2017-10-17 00:00",,273,"9",,,
"Dreamcatcher","2017-04-20 00:00",,274,"AlongBay",1,15,
"Edgecumbe","2017-10-20 00:00",,275,"AlongBay",2,15,
"Edgecumbe","2017-11-07 00:00",,276,"AlongBay",,,
"Edgecumbe","2017-11-07 00:00",,277,"9",,,
"Edgecumbe","2017-01-11 00:00",,278,"AlongBay",,,
"Edgecumbe","2017-02-07 00:00",,279,"AlongBay",1,5,
"Edgecumbe","2017-03-28 00:00",,280,"AlongBay",1,5,
"edgecumbe","2017-06-28 00:00",,281,"9",1,5,
"Edgecumbe","2017-06-28 00:00",,282,"AlongBay",1,15,
"Edgecumbe","2017-07-24 00:00",,283,"9",1,10,
"Edgecumbe","2017-07-24 00:00",,284,"AlongBay",3,10,
"Edgecumbe","2017-07-26 00:00",,285,"AlongBay",0,0,
"Edgecumbe","2017-07-26 00:00",,286,"7",2,10,
"Edgecumbe","2017-07-26 00:00",,287,"6",1,5,
"Edgecumbe","2017-05-30 00:00",,288,"AlongBay",1,15,
"Edgecumbe","2017-08-24 00:00",,290,"9",1,5,
"Edgecumbe","2017-09-22 00:00",,291,"AlongBay",,,
"Edgecumbe","2017-09-22 00:00",,292,"9",,,
"edgecumbe","2017-11-02 00:00",,293,"6",1,5,
"Edgecumbe","2017-11-02 00:00",,294,"7",3,10,
"Edgecumbe","2017-01-02 00:00",,295,"AlongBay",3,15,
"Edgecumbe","2017-12-14 00:00",,296,"9",0,5,
"Edgecumbe","2017-12-14 00:00",,297,"AlongBay",0,5,
"Edgecumbe","2017-08-24 00:00",,298,"AlongBay",1,5,
"Edgecumbe","2018-01-17 00:00",,299,"AlongBay",2,10,
"Edgecumbe","2018-01-17 00:00",,300,"9",1,5,
"Edgecumbe","2018-02-16 00:00",,301,"AlongBay",0,0,
"Edgecumbe","2018-02-16 00:00",,302,"9",0,0,
,,,303,"0",,,"safe to delete?"
"Edgecumbe","2018-03-02 00:00",,304,"AlongBay",3,20,
"Edgecumbe","2018-03-02 00:00",,305,"9",1,10,
"Edgecumbe","2018-03-27 00:00",,306,"7",1,10,
"Edgecumbe","2018-03-27 00:00",,307,"9",0,0,
"Edgecumbe","2018-03-27 00:00",,308,"AlongBay",0,0,
"Edgecumbe","2018-04-23 00:00",,309,"9",0,0,
"Edgecumbe","2018-04-23 00:00",,310,"4",0,0,
"Edgecumbe","2018-04-23 00:00",,311,"AlongBay",3,,
"Edgecumbe","2018-05-24 00:00",,312,"AlongBay",0,0,
"Edgecumbe","2018-05-24 00:00",,313,"9",1,3,
"Edgecumbe","2018-06-22 00:00",,315,"AlongBay",0,10,
"Edgecumbe","2018-06-22 00:00",,316,"9",2,5,
"Edgecumbe","2018-06-25 00:00",,317,"3",3,,
"Edgecumbe","2018-06-25 00:00",,318,"4",2,0,
"Edgecumbe","2018-07-18 00:00",,319,"6",,,
"Edgecumbe","2018-07-18 00:00",,320,"7",,,
"Edgecumbe","2018-07-18 00:00",,321,"AlongBay",,,
"Edgecumbe","2018-07-24 00:00",,322,"4",,,
"Edgecumbe","2018-07-24 00:00",,323,"9",,,
"Edgecumbe","2018-07-26 00:00",,324,"3",,,
"Edgecumbe","2018-08-23 00:00",,325,"AlongBay",2,5,
"Edgecumbe","2018-08-23 00:00",,326,"9",1,5,
"Edgecumbe","2018-09-13 00:00",,327,"3",,,
"Edgecumbe","2018-09-13 00:00",,328,"4",,,
"Edgecumbe","2018-09-13 00:00",,329,"9",,,
"Edgecumbe","2018-10-17 00:00",,330,"AlongBay",0,0,
,,,331,"0",,,
"Edgecumbe","2018-10-17 00:00",,332,"9",0,0,
"Edgecumbe","2018-11-08 00:00",,333,"AlongBay",,,
"Edgecumbe","2018-11-08 00:00",,334,"9",,,
"Edgecumbe","2018-12-06 00:00",,335,"AlongBay",,,
"Edgecumbe","2018-12-06 00:00",,336,"9",,,
"Edgecumbe","2018-09-17 00:00",,337,"6",1,0,
"Edgecumbe","2018-09-17 00:00",,338,"7",5,0,
"Edgecumbe","2018-09-17 00:00",,339,"AlongBay",5,0,
"Edgecumbe","2019-02-07 00:00",,340,"4",2,10,
"Edgecumbe","2019-02-07 00:00",,341,"AlongBay",1,10,
"Edgecumbe","2019-02-07 00:00",,342,"9",1,0,
"Edgecumbe","2019-02-08 00:00",,343,"6",3,15,
"Edgecumbe","2019-02-08 00:00",,344,"7",4,15,
"Edgecumbe","2019-02-08 00:00",,345,"3",2,10,
"Edgecumbe","2019-03-19 00:00",,348,"AlongBay",,,
"Edgecumbe","2019-03-19 00:00",,349,"9",,,
"Edgecumbe","2019-06-19 00:00",,350,"AlongBay",2,10,
"Edgecumbe","2019-06-19 00:00",,351,"9",2,15,
"Edgecumbe","2019-04-24 00:00",,352,"AlongBay",2,15,
"Edgecumbe","2019-04-24 00:00",,353,"9",2,15,
"Pandalus","2019-05-12 00:00",,354,"6",1,5,
"Pandalus","2019-05-12 00:00",,355,"7",3,15,
"Edgecumbe","2019-09-16 00:00",,356,"9",1,5,
"Edgecumbe","2019-12-12 00:00",,358,"AlongBay",,,
"Edgecumbe","2019-12-12 00:00",,359,"9",,,
"Edgecumbe","2019-10-30 00:00",,360,"AlongBay",,,
"Edgecumbe","2019-10-30 00:00",,361,"9",,,
"Edgecumbe","2019-11-15 00:00",,362,"AlongBay",0,5,
"Edgecumbe","2019-11-15 00:00",,363,"9",2,0,
"Edgecumbe","2019-08-19 00:00",,364,"AlongBay",9,0,
"Edgecumbe","2019-08-19 00:00",,365,"9",1,10,
"Edgecumbe","2019-09-16 00:00",,366,"3",3,10,
"Edgecumbe","2019-09-16 00:00",,367,"4",2,0,
"Edgecumbe","2019-09-19 00:00",,368,"AlongBay",0,0,
"Edgecumbe","2019-09-19 00:00",,369,"7",2,0,
"Edgecumbe","2019-09-19 00:00",,370,"6",2,0,
"Edgecumbe","2019-07-23 00:00",,371,"AlongBay",,,
"Edgecumbe","2019-07-23 00:00",,372,"9",,,
"Edgecumbe","2020-02-06 00:00",,373,"AlongBay",,,
"Edgecumbe","2020-02-06 00:00",,374,"9",,,
"Edgecumbe","2020-02-14 00:00",,375,"9",,,
"Edgecumbe","2020-02-14 00:00",,376,"4",,,
"Edgecumbe","2020-03-18 00:00",,377,"AlongBay",,,
"Edgecumbe","2020-03-18 00:00",,378,"9",,,
"Edgecombe","2017-03-28 00:00",,380,"AlongBay",1,5,"MR addition for missing TransectEvent 260"
"Edgecombe","2019-03-19 00:00",,381,"AlongBay",,,"MR addition for missing 347"
"Edgecombe","2017-08-24 00:00",,382,"AlongBay",,,"MR addition"
"Edgecombe","2018-06-22 00:00",,383,"AlongBay",,,"MR addition"
"Edgecombe","2019-03-19 00:00",,384,"AlongBay",,,"MR addition"
"Edgecumbe","2020-08-14 00:00",,386,"AlongBay",,,
"Edgecumbe","2020-08-14 00:00",,388,"9",,,
"Edgecumbe","2019-05-14 00:00",,389,"4",0,0,
"Edgecumbe","2019-05-14 00:00",,390,"3",2,15,
"Edgecumbe","2019-05-14 00:00",,391,"AlongBay",2,15,
"Edgecumbe","2019-05-14 00:00",,392,"9",2,15,
"Alaska Dreamcatcher","2017-04-19 00:00",,393,"3",1,5,
"Alaska Dreamcatcher","2017-04-18 00:00",,394,"6",2,15,
"Edgecumbe","2017-02-07 00:00",,395,"AlongBay",1,10,
"Dreamcatcher","2016-12-13 00:00",,396,"9",1,5,
"Edgecumbe","2019-09-21 00:00",,397,"9",,,
"Edgecumbe","2019-09-21 00:00",,398,"4",,,
"Edgecumbe","2020-10-15 00:00",,399,"AlongBay",,,
"Edgecumbe","2020-10-15 00:00",,400,"9",,,
"Edgecumbe","2020-12-28 00:00",,401,"9",,,
"Edgecumbe","2020-12-28 00:00",,402,"AlongBay",,,
"Edgecumbe","2020-09-20 00:00",,403,"6",2,10,
"Edgecumbe","2020-09-20 00:00",,404,"7",2,10,
"Edgecumbe","2020-09-20 00:00",,405,"AlongBay",2,10,
"Edgecumbe","2021-01-13 00:00",,406,"AlongBay",,,
"Edgecumbe","2021-01-13 00:00",,407,"9",,,
"Edgecumbe","2021-02-16 00:00",,408,"6",,,
"Edgecumbe","2021-02-16 00:00",,409,"7",,,
"Edgecumbe","2021-02-16 00:00",,410,"AlongBay",,,
"Edgecumbe","2021-02-17 00:00",,411,"4",,,
"Edgecumbe","2021-02-17 00:00",,412,"9",,,
"Edgecumbe","2021-03-23 00:00",,413,"AlongBay",1,10,
"Edgecumbe","2021-03-23 00:00",,414,"9",,,
"Edgecumbe","2021-04-16 00:00",,415,"3",,,
"Edgecumbe","2021-04-16 00:00",,416,"4",,,
"Edgecumbe","2021-04-16 00:00",,417,"AlongBay",,,
"Edgecumbe","2021-04-16 00:00",,418,"9",,,
,,,419,"6",,,
"Spirit","2021-05-01 00:00",,420,"6",,,
"Spirit","2021-05-01 00:00",,421,"7",1,10,
"Spirit","2021-05-01 00:00",,422,"AlongBay",2,5,
"Edgecumbe","2021-05-24 00:00",,423,"AlongBay",,,
"Edgecumbe","2021-05-24 00:00",,424,"9",,,
"Edgecumbe","2021-06-21 00:00",,425,"AlongBay",0,5,
"Edgecumbe","2021-06-21 00:00",,426,"9",0,2,
,"2021-07-16 00:00",,427,"9",,,
,"2021-07-16 00:00",,428,"4",,,
,"2021-07-16 00:00",,429,"3",,,
"Edgecumbe","2021-07-21 00:00",,430,"6",,,
"Edgecumbe","2021-07-21 00:00",,431,"7",,,
"Edgecumbe","2021-07-16 00:00",,432,"AlongBay",,,
"Edgecumbe","2021-08-17 00:00",,433,"AlongBay",,,
"Edgecumbe","2021-08-17 00:00",,434,"9",,,
"Edgecumbe","2021-09-17 00:00",,435,"4",,,
"Edgecumbe","2021-09-17 00:00",,436,"9",,,
"Edgecumbe","2021-10-04 00:00",,437,"AlongBay",,,
"Edgecumbe","2021-10-05 00:00",,438,"6",,,
"Edgecumbe","2021-10-05 00:00",,439,"7",,,
"Edgecumbe","2021-10-05 00:00",,440,"AlongBay",,,
"Edgecumbe","2021-10-21 00:00",,441,"AlongBay",,,
"Edgecumbe","2021-10-21 00:00",,442,"9",,,
"Edgecumbe","2021-10-21 00:00",,445,"9",,,
"Edgecumbe","2021-11-14 00:00",,446,"AlongBay",,,
"Edgecumbe","2021-11-14 00:00",,447,"9",,,
"Edgecumbe","2022-01-31 00:00",,448,"AlongBay",,,
"Edgecumbe","2022-01-31 00:00",,449,"9",,,
"Edgecumbe","2022-02-28 00:00",,450,"AlongBay",,,
"Edgecumbe","2022-03-01 00:00",,451,"4",,,
"Edgecumbe","2022-03-01 00:00",,452,"9",,,
"Edgecumbe","2022-03-21 00:00",,453,"AlongBay",,,
"Edgecumbe","2022-03-22 00:00",,454,"9",,,
"Edgecumbe","2022-04-13 00:00",,455,"4",,,
"Edgecumbe","2022-04-13 00:00",,456,"9",,,
"Edgecumbe","2022-05-23 00:00",,457,"AlongBay",,,
"Edgecumbe","2022-05-23 00:00",,458,"9",,,
"Edgecumbe","2022-06-24 00:00",,459,"AlongBay",,,
"Edgecumbe","2022-06-24 00:00",,460,"9",,,
,,,461,,,,
