Date,High Tide 1,High Tide 2,Low Tide 1,Low Tide 2
"2012-02-07 00:00","1899-12-30 02:24","1899-12-30 14:06","1899-12-30 08:00","1899-12-30 20:24"
"2012-02-08 00:00","1899-12-30 03:00","1899-12-30 14:48","1899-12-30 08:36","1899-12-30 21:00"
"2012-02-09 00:00","1899-12-30 03:24","1899-12-30 15:24","1899-12-30 09:12","1899-12-30 21:36"
"2012-02-10 00:00","1899-12-30 04:00","1899-12-30 16:06","1899-12-30 09:54","1899-12-30 22:06"
"2012-02-11 00:00","1899-12-30 04:36","1899-12-30 16:54","1899-12-30 10:36","1899-12-30 22:48"
"2012-02-12 00:00","1899-12-30 05:06","1899-12-30 17:42","1899-12-30 11:18","1899-12-30 23:30"
"2012-02-13 00:00","1899-12-30 05:54","1899-12-30 18:36","1899-12-30 12:12",
"2012-02-14 00:00","1899-12-30 06:36","1899-12-30 20:00","1899-12-30 00:18","1899-12-30 13:18"
"2012-02-15 00:00","1899-12-30 07:48","1899-12-30 21:24","1899-12-30 01:18","1899-12-30 14:42"
"2012-02-16 00:00","1899-12-30 09:18","1899-12-30 23:06","1899-12-30 02:42","1899-12-30 16:18"
"2012-02-17 00:00","1899-12-30 10:30",,"1899-12-30 04:30","1899-12-30 17:36"
"2012-02-18 00:00","1899-12-30 00:12","1899-12-30 11:42","1899-12-30 05:42","1899-12-30 18:24"
"2012-02-19 00:00","1899-12-30 00:54","1899-12-30 12:36","1899-12-30 06:36","1899-12-30 19:06"
"2012-02-20 00:00","1899-12-30 01:42","1899-12-30 13:30","1899-12-30 07:18","1899-12-30 19:54"
"2012-02-21 00:00","1899-12-30 02:12","1899-12-30 14:12","1899-12-30 08:06","1899-12-30 20:24"
"2012-02-22 00:00","1899-12-30 02:48","1899-12-30 14:48","1899-12-30 08:36","1899-12-30 20:54"
"2012-02-23 00:00","1899-12-30 03:18","1899-12-30 15:24","1899-12-30 09:12","1899-12-30 21:24"
"2012-02-24 00:00","1899-12-30 03:42","1899-12-30 15:54","1899-12-30 09:48","1899-12-30 21:54"
"2012-02-25 00:00","1899-12-30 04:12","1899-12-30 16:30","1899-12-30 10:18","1899-12-30 22:24"
"2012-02-26 00:00","1899-12-30 04:36","1899-12-30 17:06","1899-12-30 10:54","1899-12-30 22:54"
"2012-02-27 00:00","1899-12-30 05:06","1899-12-30 17:48","1899-12-30 11:30","1899-12-30 23:30"
"2012-02-28 00:00","1899-12-30 05:48","1899-12-30 18:24","1899-12-30 12:06",
"2012-02-29 00:00","1899-12-30 06:24","1899-12-30 19:42","1899-12-30 00:12","1899-12-30 13:06"
"2012-03-01 00:00","1899-12-30 07:24","1899-12-30 21:36","1899-12-30 00:54","1899-12-30 14:30"
"2012-03-02 00:00","1899-12-30 08:48","1899-12-30 22:54","1899-12-30 02:42","1899-12-30 16:06"
"2012-03-03 00:00","1899-12-30 10:24","1899-12-30 23:54","1899-12-30 04:30","1899-12-30 17:12"
"2012-03-04 00:00","1899-12-30 11:24",,"1899-12-30 05:30","1899-12-30 18:00"
"2012-03-05 00:00","1899-12-30 00:36","1899-12-30 12:18","1899-12-30 06:18","1899-12-30 18:42"
"2012-03-06 00:00","1899-12-30 01:06","1899-12-30 13:06","1899-12-30 07:00","1899-12-30 19:18"
"2012-03-07 00:00","1899-12-30 01:42","1899-12-30 13:48","1899-12-30 07:36","1899-12-30 19:54"
"2012-03-08 00:00","1899-12-30 02:18","1899-12-30 14:30","1899-12-30 08:18","1899-12-30 20:30"
"2012-03-09 00:00","1899-12-30 02:48","1899-12-30 15:06","1899-12-30 08:54","1899-12-30 21:12"
"2012-03-10 00:00","1899-12-30 03:24","1899-12-30 15:54","1899-12-30 09:36","1899-12-30 21:48"
"2012-03-11 00:00","1899-12-30 04:00","1899-12-30 16:42","1899-12-30 10:18","1899-12-30 22:30"
"2012-03-12 00:00","1899-12-30 04:42","1899-12-30 17:30","1899-12-30 11:06","1899-12-30 23:12"
"2012-03-13 00:00","1899-12-30 05:24","1899-12-30 18:30","1899-12-30 11:54",
"2012-03-14 00:00","1899-12-30 06:18","1899-12-30 19:42","1899-12-30 00:00","1899-12-30 13:00"
"2012-03-15 00:00","1899-12-30 07:24","1899-12-30 21:18","1899-12-30 01:12","1899-12-30 14:30"
"2012-03-16 00:00","1899-12-30 08:48","1899-12-30 22:42","1899-12-30 02:54","1899-12-30 16:00"
"2012-03-17 00:00","1899-12-30 10:24","1899-12-30 23:42","1899-12-30 04:24","1899-12-30 17:12"
"2012-03-18 00:00","1899-12-30 11:36",,"1899-12-30 05:36","1899-12-30 18:00"
"2012-03-19 00:00","1899-12-30 00:30","1899-12-30 12:36","1899-12-30 06:24","1899-12-30 18:48"
"2012-03-20 00:00","1899-12-30 01:12","1899-12-30 13:18","1899-12-30 07:06","1899-12-30 19:24"
"2012-03-21 00:00","1899-12-30 01:42","1899-12-30 13:54","1899-12-30 07:42","1899-12-30 20:00"
"2012-03-22 00:00","1899-12-30 02:12","1899-12-30 14:30","1899-12-30 08:18","1899-12-30 20:30"
"2012-03-23 00:00","1899-12-30 02:42","1899-12-30 15:06","1899-12-30 08:48","1899-12-30 21:00"
"2012-03-24 00:00","1899-12-30 03:06","1899-12-30 15:36","1899-12-30 09:18","1899-12-30 21:24"
"2012-03-25 00:00","1899-12-30 03:36","1899-12-30 16:12","1899-12-30 09:48","1899-12-30 21:54"
"2012-03-26 00:00","1899-12-30 04:00","1899-12-30 16:42","1899-12-30 10:18","1899-12-30 22:24"
"2012-03-27 00:00","1899-12-30 04:30","1899-12-30 17:18","1899-12-30 10:54","1899-12-30 22:54"
"2012-03-28 00:00","1899-12-30 05:06","1899-12-30 18:06","1899-12-30 11:36","1899-12-30 23:42"
"2012-03-29 00:00","1899-12-30 05:48","1899-12-30 19:12","1899-12-30 12:30",
"2012-03-30 00:00","1899-12-30 06:36","1899-12-30 20:36","1899-12-30 00:36","1899-12-30 13:30"
"2012-03-31 00:00","1899-12-30 08:00","1899-12-30 22:00","1899-12-30 02:06","1899-12-30 15:18"
"2012-04-01 00:00","1899-12-30 09:36","1899-12-30 23:00","1899-12-30 03:42","1899-12-30 16:12"
"2012-04-02 00:00","1899-12-30 10:48","1899-12-30 23:48","1899-12-30 04:48","1899-12-30 17:12"
"2012-04-03 00:00","1899-12-30 11:48",,"1899-12-30 05:48","1899-12-30 18:00"
"2012-04-04 00:00","1899-12-30 00:24","1899-12-30 12:36","1899-12-30 06:24","1899-12-30 18:42"
"2012-04-05 00:00","1899-12-30 01:00","1899-12-30 13:24","1899-12-30 07:06","1899-12-30 19:24"
"2012-04-06 00:00","1899-12-30 01:36","1899-12-30 14:12","1899-12-30 07:48","1899-12-30 20:00"
"2012-04-07 00:00","1899-12-30 02:18","1899-12-30 15:00","1899-12-30 08:30","1899-12-30 20:42"
"2012-04-08 00:00","1899-12-30 02:54","1899-12-30 15:48","1899-12-30 09:18","1899-12-30 21:24"
"2012-04-09 00:00","1899-12-30 03:36","1899-12-30 16:36","1899-12-30 10:00","1899-12-30 22:12"
"2012-04-10 00:00","1899-12-30 04:18","1899-12-30 17:30","1899-12-30 10:48","1899-12-30 23:00"
"2012-04-11 00:00","1899-12-30 05:12","1899-12-30 18:18","1899-12-30 11:42",
"2012-04-12 00:00","1899-12-30 06:00","1899-12-30 19:30","1899-12-30 00:00","1899-12-30 12:42"
"2012-04-13 00:00","1899-12-30 07:12","1899-12-30 20:48","1899-12-30 01:06","1899-12-30 13:54"
"2012-04-14 00:00","1899-12-30 08:42","1899-12-30 22:12","1899-12-30 02:36","1899-12-30 15:12"
"2012-04-15 00:00","1899-12-30 10:06","1899-12-30 23:06","1899-12-30 04:00","1899-12-30 16:30"
"2012-04-16 00:00","1899-12-30 11:18","1899-12-30 23:48","1899-12-30 05:06","1899-12-30 17:24"
"2012-04-17 00:00","1899-12-30 12:12","1899-12-30 12:12","1899-12-30 06:00","1899-12-30 18:12"
"2012-04-18 00:00","1899-12-30 00:30","1899-12-30 13:00","1899-12-30 06:42","1899-12-30 18:54"
"2012-04-19 00:00","1899-12-30 01:06","1899-12-30 13:36","1899-12-30 07:18","1899-12-30 19:30"
"2012-04-20 00:00","1899-12-30 01:36","1899-12-30 14:12","1899-12-30 07:54","1899-12-30 20:00"
"2012-04-21 00:00","1899-12-30 02:06","1899-12-30 14:48","1899-12-30 08:24","1899-12-30 20:30"
"2012-04-22 00:00","1899-12-30 02:36","1899-12-30 15:24","1899-12-30 08:54","1899-12-30 21:00"
"2012-04-23 00:00","1899-12-30 03:06","1899-12-30 15:54","1899-12-30 09:24","1899-12-30 21:30"
"2012-04-24 00:00","1899-12-30 03:36","1899-12-30 16:30","1899-12-30 10:00","1899-12-30 22:06"
"2012-04-25 00:00","1899-12-30 04:06","1899-12-30 17:06","1899-12-30 10:36","1899-12-30 22:36"
"2012-04-26 00:00","1899-12-30 04:42","1899-12-30 17:48","1899-12-30 11:06","1899-12-30 23:24"
"2012-04-27 00:00","1899-12-30 05:18","1899-12-30 18:42","1899-12-30 12:00",
"2012-04-28 00:00","1899-12-30 06:12","1899-12-30 19:48","1899-12-30 00:18","1899-12-30 12:54"
"2012-04-29 00:00","1899-12-30 07:24","1899-12-30 20:54","1899-12-30 01:36","1899-12-30 14:06"
"2012-04-30 00:00","1899-12-30 08:54","1899-12-30 21:54","1899-12-30 02:54","1899-12-30 15:18"
"2012-05-01 00:00","1899-12-30 10:12","1899-12-30 22:48","1899-12-30 04:12","1899-12-30 16:18"
"2012-05-02 00:00","1899-12-30 11:18","1899-12-30 23:36","1899-12-30 05:06","1899-12-30 17:18"
"2012-05-03 00:00","1899-12-30 12:18","1899-12-30 12:18","1899-12-30 06:00","1899-12-30 18:06"
"2012-05-04 00:00","1899-12-30 00:18","1899-12-30 13:06","1899-12-30 06:42","1899-12-30 18:54"
"2012-05-05 00:00","1899-12-30 01:06","1899-12-30 14:00","1899-12-30 07:30","1899-12-30 19:42"
"2012-05-06 00:00","1899-12-30 01:48","1899-12-30 14:48","1899-12-30 08:12","1899-12-30 20:24"
"2012-05-07 00:00","1899-12-30 02:30","1899-12-30 15:36","1899-12-30 09:00","1899-12-30 21:12"
"2012-05-08 00:00","1899-12-30 03:18","1899-12-30 16:24","1899-12-30 09:48","1899-12-30 22:00"
"2012-05-09 00:00","1899-12-30 04:06","1899-12-30 17:18","1899-12-30 10:36","1899-12-30 22:54"
"2012-05-10 00:00","1899-12-30 04:54","1899-12-30 18:06","1899-12-30 11:24","1899-12-30 23:48"
"2012-05-11 00:00","1899-12-30 05:48","1899-12-30 19:06","1899-12-30 12:24",
"2012-05-12 00:00","1899-12-30 06:54","1899-12-30 20:12","1899-12-30 00:54","1899-12-30 13:18"
"2012-05-13 00:00","1899-12-30 08:12","1899-12-30 21:12","1899-12-30 02:06","1899-12-30 14:30"
"2012-05-14 00:00","1899-12-30 09:30","1899-12-30 22:12","1899-12-30 03:24","1899-12-30 15:36"
"2012-05-15 00:00","1899-12-30 10:48","1899-12-30 23:00","1899-12-30 04:36","1899-12-30 16:42"
"2012-05-16 00:00","1899-12-30 11:48","1899-12-30 23:48","1899-12-30 05:30","1899-12-30 17:36"
"2012-05-17 00:00","1899-12-30 12:42","1899-12-30 12:42","1899-12-30 06:12","1899-12-30 18:18"
"2012-05-18 00:00","1899-12-30 00:24","1899-12-30 13:18","1899-12-30 06:54","1899-12-30 19:00"
"2012-05-19 00:00","1899-12-30 01:00","1899-12-30 14:00","1899-12-30 07:30","1899-12-30 19:36"
"2012-05-20 00:00","1899-12-30 01:36","1899-12-30 14:36","1899-12-30 08:00","1899-12-30 20:06"
"2012-05-21 00:00","1899-12-30 02:06","1899-12-30 15:06","1899-12-30 08:36","1899-12-30 20:42"
"2012-05-22 00:00","1899-12-30 02:42","1899-12-30 15:42","1899-12-30 09:12","1899-12-30 21:18"
"2012-05-23 00:00","1899-12-30 03:12","1899-12-30 16:18","1899-12-30 09:42","1899-12-30 21:48"
"2012-05-24 00:00","1899-12-30 03:42","1899-12-30 16:54","1899-12-30 10:18","1899-12-30 22:30"
"2012-05-25 00:00","1899-12-30 04:24","1899-12-30 17:30","1899-12-30 10:54","1899-12-30 23:06"
"2012-05-26 00:00","1899-12-30 05:06","1899-12-30 18:18","1899-12-30 11:36",
"2012-05-27 00:00","1899-12-30 05:54","1899-12-30 19:06","1899-12-30 00:00","1899-12-30 12:24"
"2012-05-28 00:00","1899-12-30 07:00","1899-12-30 20:00","1899-12-30 01:00","1899-12-30 13:18"
"2012-05-29 00:00","1899-12-30 08:18","1899-12-30 21:00","1899-12-30 02:12","1899-12-30 14:24"
"2012-05-30 00:00","1899-12-30 09:36","1899-12-30 22:00","1899-12-30 03:18","1899-12-30 15:30"
"2012-05-31 00:00","1899-12-30 10:48","1899-12-30 22:54","1899-12-30 04:36","1899-12-30 16:36"
"2012-06-01 00:00","1899-12-30 12:00","1899-12-30 23:42","1899-12-30 05:30","1899-12-30 17:36"
"2012-06-02 00:00","1899-12-30 12:54","1899-12-30 12:54","1899-12-30 06:30","1899-12-30 18:30"
"2012-06-03 00:00","1899-12-30 00:36","1899-12-30 13:48","1899-12-30 07:12","1899-12-30 19:18"
"2012-06-04 00:00","1899-12-30 01:24","1899-12-30 14:36","1899-12-30 08:00","1899-12-30 20:12"
"2012-06-05 00:00","1899-12-30 02:18","1899-12-30 15:30","1899-12-30 08:54","1899-12-30 21:00"
"2012-06-06 00:00","1899-12-30 03:06","1899-12-30 16:12","1899-12-30 09:36","1899-12-30 21:54"
"2012-06-07 00:00","1899-12-30 03:54","1899-12-30 17:00","1899-12-30 10:18","1899-12-30 22:42"
"2012-06-08 00:00","1899-12-30 04:42","1899-12-30 17:42","1899-12-30 11:06","1899-12-30 23:30"
"2012-06-09 00:00","1899-12-30 05:30","1899-12-30 18:30","1899-12-30 11:54",
"2012-06-10 00:00","1899-12-30 06:30","1899-12-30 19:24","1899-12-30 00:30","1899-12-30 12:42"
"2012-06-11 00:00","1899-12-30 07:30","1899-12-30 20:18","1899-12-30 01:30","1899-12-30 13:30"
"2012-06-12 00:00","1899-12-30 08:48","1899-12-30 21:12","1899-12-30 02:42","1899-12-30 14:42"
"2012-06-13 00:00","1899-12-30 10:06","1899-12-30 22:12","1899-12-30 03:54","1899-12-30 15:48"
"2012-06-14 00:00","1899-12-30 11:24","1899-12-30 23:06","1899-12-30 04:54","1899-12-30 16:54"
"2012-06-15 00:00","1899-12-30 12:18","1899-12-30 23:48","1899-12-30 05:42","1899-12-30 17:48"
"2012-06-16 00:00","1899-12-30 13:06","1899-12-30 13:06","1899-12-30 06:30","1899-12-30 18:36"
"2012-06-17 00:00","1899-12-30 00:30","1899-12-30 13:42","1899-12-30 07:12","1899-12-30 19:12"
"2012-06-18 00:00","1899-12-30 01:06","1899-12-30 14:18","1899-12-30 07:42","1899-12-30 19:48"
"2012-06-19 00:00","1899-12-30 01:42","1899-12-30 14:48","1899-12-30 08:18","1899-12-30 20:24"
"2012-06-20 00:00","1899-12-30 02:18","1899-12-30 15:24","1899-12-30 08:54","1899-12-30 21:00"
"2012-06-21 00:00","1899-12-30 02:54","1899-12-30 16:00","1899-12-30 09:24","1899-12-30 21:36"
"2012-06-22 00:00","1899-12-30 03:30","1899-12-30 16:30","1899-12-30 10:00","1899-12-30 22:12"
"2012-06-23 00:00","1899-12-30 04:12","1899-12-30 17:06","1899-12-30 10:36","1899-12-30 22:54"
"2012-06-24 00:00","1899-12-30 04:54","1899-12-30 17:42","1899-12-30 11:18","1899-12-30 23:42"
"2012-06-25 00:00","1899-12-30 05:42","1899-12-30 18:30","1899-12-30 11:54",
"2012-06-26 00:00","1899-12-30 06:36","1899-12-30 19:12","1899-12-30 00:36","1899-12-30 12:42"
"2012-06-27 00:00","1899-12-30 07:48","1899-12-30 20:12","1899-12-30 01:42","1899-12-30 13:42"
"2012-06-28 00:00","1899-12-30 09:12","1899-12-30 21:18","1899-12-30 02:48","1899-12-30 14:54"
"2012-06-29 00:00","1899-12-30 10:30","1899-12-30 22:18","1899-12-30 04:00","1899-12-30 16:06"
"2012-06-30 00:00","1899-12-30 11:42","1899-12-30 23:18","1899-12-30 05:18","1899-12-30 17:18"
"2012-07-01 00:00","1899-12-30 12:48","1899-12-30 12:48","1899-12-30 06:12","1899-12-30 18:18"
"2012-07-02 00:00","1899-12-30 00:18","1899-12-30 13:42","1899-12-30 07:06","1899-12-30 19:12"
"2012-07-03 00:00","1899-12-30 01:12","1899-12-30 14:30","1899-12-30 07:54","1899-12-30 20:06"
"2012-07-04 00:00","1899-12-30 02:06","1899-12-30 15:12","1899-12-30 08:36","1899-12-30 20:54"
"2012-07-05 00:00","1899-12-30 02:54","1899-12-30 15:54","1899-12-30 09:24","1899-12-30 21:36"
"2012-07-06 00:00","1899-12-30 03:42","1899-12-30 16:36","1899-12-30 10:00","1899-12-30 22:18"
"2012-07-07 00:00","1899-12-30 04:24","1899-12-30 17:12","1899-12-30 10:42","1899-12-30 23:06"
"2012-07-08 00:00","1899-12-30 05:12","1899-12-30 17:54","1899-12-30 11:24","1899-12-30 23:54"
"2012-07-09 00:00","1899-12-30 06:00","1899-12-30 18:30","1899-12-30 12:00",
"2012-07-10 00:00","1899-12-30 06:48","1899-12-30 19:12","1899-12-30 00:42","1899-12-30 12:48"
"2012-07-11 00:00","1899-12-30 08:00","1899-12-30 20:06","1899-12-30 01:42","1899-12-30 13:42"
"2012-07-12 00:00","1899-12-30 09:18","1899-12-30 21:12","1899-12-30 02:54","1899-12-30 14:48"
"2012-07-13 00:00","1899-12-30 10:48","1899-12-30 22:18","1899-12-30 04:18","1899-12-30 16:06"
"2012-07-14 00:00","1899-12-30 11:48","1899-12-30 23:18","1899-12-30 05:12","1899-12-30 17:12"
"2012-07-15 00:00","1899-12-30 12:42","1899-12-30 12:42","1899-12-30 05:54","1899-12-30 18:06"
"2012-07-16 00:00","1899-12-30 00:00","1899-12-30 13:24","1899-12-30 06:48","1899-12-30 18:54"
"2012-07-17 00:00","1899-12-30 00:42","1899-12-30 14:00","1899-12-30 07:24","1899-12-30 19:30"
"2012-07-18 00:00","1899-12-30 01:24","1899-12-30 14:30","1899-12-30 08:00","1899-12-30 20:06"
"2012-07-19 00:00","1899-12-30 02:06","1899-12-30 15:00","1899-12-30 08:30","1899-12-30 20:42"
"2012-07-20 00:00","1899-12-30 02:42","1899-12-30 15:30","1899-12-30 09:00","1899-12-30 21:18"
"2012-07-21 00:00","1899-12-30 03:18","1899-12-30 16:06","1899-12-30 09:36","1899-12-30 21:54"
"2012-07-22 00:00","1899-12-30 04:00","1899-12-30 16:42","1899-12-30 10:12","1899-12-30 22:36"
"2012-07-23 00:00","1899-12-30 04:42","1899-12-30 17:18","1899-12-30 10:54","1899-12-30 23:18"
"2012-07-24 00:00","1899-12-30 05:24","1899-12-30 17:54","1899-12-30 11:30",
"2012-07-25 00:00","1899-12-30 06:18","1899-12-30 18:42","1899-12-30 00:06","1899-12-30 12:12"
"2012-07-26 00:00","1899-12-30 07:24","1899-12-30 19:36","1899-12-30 01:06","1899-12-30 13:12"
"2012-07-27 00:00","1899-12-30 08:48","1899-12-30 20:42","1899-12-30 02:24","1899-12-30 14:24"
"2012-07-28 00:00","1899-12-30 10:24","1899-12-30 22:06","1899-12-30 03:48","1899-12-30 15:54"
"2012-07-29 00:00","1899-12-30 11:42","1899-12-30 23:12","1899-12-30 05:00","1899-12-30 17:06"
"2012-07-30 00:00","1899-12-30 12:42","1899-12-30 12:42","1899-12-30 06:06","1899-12-30 18:12"
"2012-07-31 00:00","1899-12-30 00:12","1899-12-30 13:30","1899-12-30 06:54","1899-12-30 19:06"
"2012-08-01 00:00","1899-12-30 01:12","1899-12-30 14:12","1899-12-30 07:42","1899-12-30 19:54"
"2012-08-02 00:00","1899-12-30 02:00","1899-12-30 14:54","1899-12-30 08:24","1899-12-30 20:36"
"2012-08-03 00:00","1899-12-30 02:42","1899-12-30 15:30","1899-12-30 09:00","1899-12-30 21:18"
"2012-08-04 00:00","1899-12-30 03:24","1899-12-30 16:00","1899-12-30 09:36","1899-12-30 21:54"
"2012-08-05 00:00","1899-12-30 04:06","1899-12-30 16:36","1899-12-30 10:12","1899-12-30 22:36"
"2012-08-06 00:00","1899-12-30 04:42","1899-12-30 17:06","1899-12-30 10:48","1899-12-30 23:12"
"2012-08-07 00:00","1899-12-30 05:18","1899-12-30 17:42","1899-12-30 11:24",
"2012-08-08 00:00","1899-12-30 06:06","1899-12-30 18:18","1899-12-30 00:00",
"2012-08-09 00:00","1899-12-30 07:06","1899-12-30 19:12","1899-12-30 00:54","1899-12-30 12:48"
"2012-08-10 00:00","1899-12-30 08:30","1899-12-30 20:12","1899-12-30 02:06","1899-12-30 13:48"
"2012-08-11 00:00","1899-12-30 10:12","1899-12-30 21:30","1899-12-30 03:24","1899-12-30 15:18"
"2012-08-12 00:00","1899-12-30 11:30","1899-12-30 22:42","1899-12-30 04:36","1899-12-30 16:42"
"2012-08-13 00:00","1899-12-30 12:18","1899-12-30 23:36","1899-12-30 05:30","1899-12-30 17:42"
"2012-08-14 00:00","1899-12-30 13:00","1899-12-30 13:00","1899-12-30 06:18","1899-12-30 18:30"
"2012-08-15 00:00","1899-12-30 00:24","1899-12-30 13:30","1899-12-30 07:00","1899-12-30 19:06"
"2012-08-16 00:00","1899-12-30 01:06","1899-12-30 14:00","1899-12-30 07:36","1899-12-30 19:42"
"2012-08-17 00:00","1899-12-30 01:48","1899-12-30 14:30","1899-12-30 08:06","1899-12-30 20:18"
"2012-08-18 00:00","1899-12-30 02:24","1899-12-30 15:00","1899-12-30 08:42","1899-12-30 20:54"
"2012-08-19 00:00","1899-12-30 03:06","1899-12-30 15:36","1899-12-30 09:12","1899-12-30 21:36"
"2012-08-20 00:00","1899-12-30 03:42","1899-12-30 16:06","1899-12-30 09:48","1899-12-30 22:12"
"2012-08-21 00:00","1899-12-30 04:24","1899-12-30 16:42","1899-12-30 10:24","1899-12-30 22:54"
"2012-08-22 00:00","1899-12-30 05:12","1899-12-30 17:24","1899-12-30 11:06","1899-12-30 23:42"
"2012-08-23 00:00","1899-12-30 06:06","1899-12-30 18:12","1899-12-30 11:54",
"2012-08-24 00:00","1899-12-30 07:12","1899-12-30 19:06","1899-12-30 00:48","1899-12-30 12:48"
"2012-08-25 00:00","1899-12-30 08:48","1899-12-30 20:24","1899-12-30 02:06","1899-12-30 14:12"
"2012-08-26 00:00","1899-12-30 10:18","1899-12-30 21:54","1899-12-30 03:36","1899-12-30 15:48"
"2012-08-27 00:00","1899-12-30 11:30","1899-12-30 23:12","1899-12-30 04:54","1899-12-30 17:00"
"2012-08-28 00:00","1899-12-30 12:24","1899-12-30 12:24","1899-12-30 05:54","1899-12-30 18:06"
"2012-08-29 00:00","1899-12-30 00:12","1899-12-30 13:12","1899-12-30 06:42","1899-12-30 18:54"
"2012-08-30 00:00","1899-12-30 01:00","1899-12-30 13:48","1899-12-30 07:24","1899-12-30 19:42"
"2012-08-31 00:00","1899-12-30 01:48","1899-12-30 14:24","1899-12-30 08:00","1899-12-30 20:18"
"2012-09-01 00:00","1899-12-30 02:30","1899-12-30 14:54","1899-12-30 08:36","1899-12-30 20:54"
"2012-09-02 00:00","1899-12-30 03:06","1899-12-30 15:24","1899-12-30 09:06","1899-12-30 21:30"
"2012-09-03 00:00","1899-12-30 03:42","1899-12-30 15:54","1899-12-30 09:42","1899-12-30 22:06"
"2012-09-04 00:00","1899-12-30 04:18","1899-12-30 16:18","1899-12-30 10:06","1899-12-30 22:42"
