Date,Sunrise,Sunset
"2012-02-29 00:00","1899-12-30 08:05","1899-12-30 18:34"
"2012-03-01 00:00","1899-12-30 08:02","1899-12-30 18:36"
"2012-03-02 00:00","1899-12-30 07:59","1899-12-30 18:39"
"2012-03-03 00:00","1899-12-30 07:56","1899-12-30 18:41"
"2012-03-04 00:00","1899-12-30 07:53","1899-12-30 18:44"
"2012-03-05 00:00","1899-12-30 07:50","1899-12-30 18:46"
"2012-03-06 00:00","1899-12-30 07:47","1899-12-30 18:49"
"2012-03-07 00:00","1899-12-30 07:44","1899-12-30 18:51"
"2012-03-08 00:00","1899-12-30 07:41","1899-12-30 18:53"
"2012-03-09 00:00","1899-12-30 07:38","1899-12-30 18:56"
"2012-03-10 00:00","1899-12-30 07:35","1899-12-30 18:58"
"2012-03-11 00:00","1899-12-30 07:32","1899-12-30 19:01"
"2012-03-12 00:00","1899-12-30 07:30","1899-12-30 19:03"
"2012-03-13 00:00","1899-12-30 07:27","1899-12-30 19:06"
"2012-03-14 00:00","1899-12-30 07:24","1899-12-30 19:08"
"2012-03-15 00:00","1899-12-30 07:21","1899-12-30 19:10"
"2012-03-16 00:00","1899-12-30 07:18","1899-12-30 19:13"
"2012-03-17 00:00","1899-12-30 07:15","1899-12-30 19:15"
"2012-03-18 00:00","1899-12-30 07:12","1899-12-30 19:18"
"2012-03-19 00:00","1899-12-30 07:09","1899-12-30 19:20"
"2012-03-20 00:00","1899-12-30 07:06","1899-12-30 19:23"
"2012-03-21 00:00","1899-12-30 07:03","1899-12-30 19:25"
"2012-03-22 00:00","1899-12-30 07:00","1899-12-30 19:27"
"2012-03-23 00:00","1899-12-30 06:57","1899-12-30 19:30"
"2012-03-24 00:00","1899-12-30 06:54","1899-12-30 19:32"
"2012-03-25 00:00","1899-12-30 06:51","1899-12-30 19:35"
"2012-03-26 00:00","1899-12-30 06:48","1899-12-30 19:37"
"2012-03-27 00:00","1899-12-30 06:45","1899-12-30 19:39"
"2012-03-28 00:00","1899-12-30 06:42","1899-12-30 19:42"
"2012-03-29 00:00","1899-12-30 06:39","1899-12-30 19:44"
"2012-03-30 00:00","1899-12-30 06:36","1899-12-30 19:47"
"2012-03-31 00:00","1899-12-30 06:33","1899-12-30 19:49"
"2012-04-01 00:00","1899-12-30 06:30","1899-12-30 19:51"
"2012-04-02 00:00","1899-12-30 06:27","1899-12-30 19:54"
"2012-04-03 00:00","1899-12-30 06:24","1899-12-30 19:56"
"2012-04-04 00:00","1899-12-30 06:21","1899-12-30 19:59"
"2012-04-05 00:00","1899-12-30 06:18","1899-12-30 20:01"
"2012-04-06 00:00","1899-12-30 06:15","1899-12-30 20:03"
"2012-04-07 00:00","1899-12-30 06:12","1899-12-30 20:06"
"2012-04-08 00:00","1899-12-30 06:09","1899-12-30 20:08"
"2012-04-09 00:00","1899-12-30 06:06","1899-12-30 20:11"
"2012-04-10 00:00","1899-12-30 06:03","1899-12-30 20:13"
"2012-04-11 00:00","1899-12-30 06:00","1899-12-30 20:15"
"2012-04-12 00:00","1899-12-30 05:57","1899-12-30 20:18"
"2012-04-13 00:00","1899-12-30 05:54","1899-12-30 20:20"
"2012-04-14 00:00","1899-12-30 05:52","1899-12-30 20:23"
"2012-04-15 00:00","1899-12-30 05:49","1899-12-30 20:25"
"2012-04-16 00:00","1899-12-30 05:46","1899-12-30 20:27"
"2012-04-17 00:00","1899-12-30 05:43","1899-12-30 20:30"
"2012-04-18 00:00","1899-12-30 05:40","1899-12-30 20:32"
"2012-04-19 00:00","1899-12-30 05:37","1899-12-30 20:35"
"2012-04-20 00:00","1899-12-30 05:34","1899-12-30 20:37"
"2012-04-21 00:00","1899-12-30 05:31","1899-12-30 20:40"
"2012-04-22 00:00","1899-12-30 05:29","1899-12-30 20:42"
"2012-04-23 00:00","1899-12-30 05:26","1899-12-30 20:45"
"2012-04-24 00:00","1899-12-30 05:23","1899-12-30 20:47"
"2012-04-25 00:00","1899-12-30 05:20","1899-12-30 20:49"
"2012-04-26 00:00","1899-12-30 05:18","1899-12-30 20:52"
"2012-04-27 00:00","1899-12-30 05:15","1899-12-30 20:54"
"2012-04-28 00:00","1899-12-30 05:12","1899-12-30 20:57"
"2012-04-29 00:00","1899-12-30 05:09","1899-12-30 20:59"
"2012-04-30 00:00","1899-12-30 05:07","1899-12-30 21:02"
"2012-05-01 00:00","1899-12-30 05:04","1899-12-30 21:04"
"2012-05-02 00:00","1899-12-30 05:01","1899-12-30 21:06"
"2012-05-03 00:00","1899-12-30 04:59","1899-12-30 21:09"
"2012-05-04 00:00","1899-12-30 04:56","1899-12-30 21:11"
"2012-05-05 00:00","1899-12-30 04:54","1899-12-30 21:14"
"2012-05-06 00:00","1899-12-30 04:51","1899-12-30 21:16"
"2012-05-07 00:00","1899-12-30 04:49","1899-12-30 21:19"
"2012-05-08 00:00","1899-12-30 04:46","1899-12-30 21:21"
"2012-05-09 00:00","1899-12-30 04:44","1899-12-30 21:23"
"2012-05-10 00:00","1899-12-30 04:41","1899-12-30 21:26"
"2012-05-11 00:00","1899-12-30 04:39","1899-12-30 21:28"
"2012-05-12 00:00","1899-12-30 04:36","1899-12-30 21:30"
"2012-05-13 00:00","1899-12-30 04:34","1899-12-30 21:33"
"2012-05-14 00:00","1899-12-30 04:32","1899-12-30 21:35"
"2012-05-15 00:00","1899-12-30 04:29","1899-12-30 21:37"
"2012-05-16 00:00","1899-12-30 04:27","1899-12-30 21:40"
"2012-05-17 00:00","1899-12-30 04:25","1899-12-30 21:42"
"2012-05-18 00:00","1899-12-30 04:23","1899-12-30 21:44"
"2012-05-19 00:00","1899-12-30 04:21","1899-12-30 21:46"
"2012-05-20 00:00","1899-12-30 04:19","1899-12-30 21:48"
"2012-05-21 00:00","1899-12-30 04:17","1899-12-30 21:51"
"2012-05-22 00:00","1899-12-30 04:15","1899-12-30 21:53"
"2012-05-23 00:00","1899-12-30 04:13","1899-12-30 21:55"
"2012-05-24 00:00","1899-12-30 04:11","1899-12-30 21:57"
"2012-05-25 00:00","1899-12-30 04:09","1899-12-30 21:59"
"2012-05-26 00:00","1899-12-30 04:07","1899-12-30 22:01"
"2012-05-27 00:00","1899-12-30 04:06","1899-12-30 22:03"
"2012-05-28 00:00","1899-12-30 04:04","1899-12-30 22:04"
"2012-05-29 00:00","1899-12-30 04:02","1899-12-30 22:06"
"2012-05-30 00:00","1899-12-30 04:01","1899-12-30 22:08"
"2012-05-31 00:00","1899-12-30 03:59","1899-12-30 22:10"
"2012-06-01 00:00","1899-12-30 03:58","1899-12-30 22:12"
"2012-06-02 00:00","1899-12-30 03:57","1899-12-30 22:13"
"2012-06-03 00:00","1899-12-30 03:55","1899-12-30 22:15"
"2012-06-04 00:00","1899-12-30 03:54","1899-12-30 22:16"
"2012-06-05 00:00","1899-12-30 03:53","1899-12-30 22:18"
"2012-06-06 00:00","1899-12-30 03:52","1899-12-30 22:19"
"2012-06-07 00:00","1899-12-30 03:51","1899-12-30 22:20"
"2012-06-08 00:00","1899-12-30 03:50","1899-12-30 22:21"
"2012-06-09 00:00","1899-12-30 03:49","1899-12-30 22:23"
"2012-06-10 00:00","1899-12-30 03:49","1899-12-30 22:24"
"2012-06-11 00:00","1899-12-30 03:48","1899-12-30 22:25"
"2012-06-12 00:00","1899-12-30 03:47","1899-12-30 22:26"
"2012-06-13 00:00","1899-12-30 03:47","1899-12-30 22:26"
"2012-06-14 00:00","1899-12-30 03:47","1899-12-30 22:27"
"2012-06-15 00:00","1899-12-30 03:46","1899-12-30 22:28"
"2012-06-16 00:00","1899-12-30 03:46","1899-12-30 22:28"
"2012-06-17 00:00","1899-12-30 03:46","1899-12-30 22:29"
"2012-06-18 00:00","1899-12-30 03:46","1899-12-30 22:29"
"2012-06-19 00:00","1899-12-30 03:46","1899-12-30 22:30"
"2012-06-20 00:00","1899-12-30 03:46","1899-12-30 22:30"
"2012-06-21 00:00","1899-12-30 03:46","1899-12-30 22:30"
"2012-06-22 00:00","1899-12-30 03:47","1899-12-30 22:30"
"2012-06-23 00:00","1899-12-30 03:47","1899-12-30 22:30"
"2012-06-24 00:00","1899-12-30 03:47","1899-12-30 22:30"
"2012-06-25 00:00","1899-12-30 03:48","1899-12-30 22:30"
"2012-06-26 00:00","1899-12-30 03:49","1899-12-30 22:29"
"2012-06-27 00:00","1899-12-30 03:49","1899-12-30 22:29"
"2012-06-28 00:00","1899-12-30 03:50","1899-12-30 22:29"
"2012-06-29 00:00","1899-12-30 03:51","1899-12-30 22:28"
"2012-06-30 00:00","1899-12-30 03:52","1899-12-30 22:27"
"2012-07-01 00:00","1899-12-30 03:53","1899-12-30 22:27"
"2012-07-02 00:00","1899-12-30 03:54","1899-12-30 22:26"
"2012-07-03 00:00","1899-12-30 03:55","1899-12-30 22:25"
"2012-07-04 00:00","1899-12-30 03:57","1899-12-30 22:24"
"2012-07-05 00:00","1899-12-30 03:58","1899-12-30 22:23"
"2012-07-06 00:00","1899-12-30 03:59","1899-12-30 22:22"
"2012-07-07 00:00","1899-12-30 04:01","1899-12-30 22:21"
"2012-07-08 00:00","1899-12-30 04:02","1899-12-30 22:19"
"2012-07-09 00:00","1899-12-30 04:04","1899-12-30 22:18"
"2012-07-10 00:00","1899-12-30 04:06","1899-12-30 22:17"
"2012-07-11 00:00","1899-12-30 04:07","1899-12-30 22:15"
"2012-07-12 00:00","1899-12-30 04:09","1899-12-30 22:14"
"2012-07-13 00:00","1899-12-30 04:11","1899-12-30 22:12"
"2012-07-14 00:00","1899-12-30 04:13","1899-12-30 22:10"
"2012-07-15 00:00","1899-12-30 04:15","1899-12-30 22:09"
"2012-07-16 00:00","1899-12-30 04:16","1899-12-30 22:07"
"2012-07-17 00:00","1899-12-30 04:18","1899-12-30 22:05"
"2012-07-18 00:00","1899-12-30 04:20","1899-12-30 22:03"
"2012-07-19 00:00","1899-12-30 04:22","1899-12-30 22:01"
"2012-07-20 00:00","1899-12-30 04:25","1899-12-30 21:59"
"2012-07-21 00:00","1899-12-30 04:27","1899-12-30 21:57"
"2012-07-22 00:00","1899-12-30 04:29","1899-12-30 21:55"
"2012-07-23 00:00","1899-12-30 04:31","1899-12-30 21:53"
"2012-07-24 00:00","1899-12-30 04:33","1899-12-30 21:51"
"2012-07-25 00:00","1899-12-30 04:35","1899-12-30 21:49"
"2012-07-26 00:00","1899-12-30 04:38","1899-12-30 21:46"
"2012-07-27 00:00","1899-12-30 04:40","1899-12-30 21:44"
"2012-07-28 00:00","1899-12-30 04:42","1899-12-30 21:42"
"2012-07-29 00:00","1899-12-30 04:44","1899-12-30 21:39"
"2012-07-30 00:00","1899-12-30 04:47","1899-12-30 21:37"
"2012-07-31 00:00","1899-12-30 04:49","1899-12-30 21:35"
"2012-08-01 00:00","1899-12-30 04:51","1899-12-30 21:32"
"2012-08-02 00:00","1899-12-30 04:53","1899-12-30 21:30"
"2012-08-03 00:00","1899-12-30 04:56","1899-12-30 21:27"
"2012-08-04 00:00","1899-12-30 04:58","1899-12-30 21:25"
"2012-08-05 00:00","1899-12-30 05:00","1899-12-30 21:22"
"2012-08-06 00:00","1899-12-30 05:03","1899-12-30 21:20"
"2012-08-07 00:00","1899-12-30 05:05","1899-12-30 21:17"
"2012-08-08 00:00","1899-12-30 05:07","1899-12-30 21:14"
"2012-08-09 00:00","1899-12-30 05:10","1899-12-30 21:12"
"2012-08-10 00:00","1899-12-30 05:12","1899-12-30 21:09"
"2012-08-11 00:00","1899-12-30 05:14","1899-12-30 21:06"
"2012-08-12 00:00","1899-12-30 05:17","1899-12-30 21:04"
"2012-08-13 00:00","1899-12-30 05:19","1899-12-30 21:01"
"2012-08-14 00:00","1899-12-30 05:22","1899-12-30 20:58"
"2012-08-15 00:00","1899-12-30 05:24","1899-12-30 20:55"
"2012-08-16 00:00","1899-12-30 05:26","1899-12-30 20:53"
"2012-08-17 00:00","1899-12-30 05:29","1899-12-30 20:50"
"2012-08-18 00:00","1899-12-30 05:31","1899-12-30 20:47"
"2012-08-19 00:00","1899-12-30 05:33","1899-12-30 20:44"
"2012-08-20 00:00","1899-12-30 05:36","1899-12-30 20:41"
"2012-08-21 00:00","1899-12-30 05:38","1899-12-30 20:39"
"2012-08-22 00:00","1899-12-30 05:40","1899-12-30 20:36"
"2012-08-23 00:00","1899-12-30 05:43","1899-12-30 20:33"
"2012-08-24 00:00","1899-12-30 05:45","1899-12-30 20:30"
"2012-08-25 00:00","1899-12-30 05:48","1899-12-30 20:27"
"2012-08-26 00:00","1899-12-30 05:50","1899-12-30 20:24"
"2012-08-27 00:00","1899-12-30 05:52","1899-12-30 20:21"
"2012-08-28 00:00","1899-12-30 05:55","1899-12-30 20:18"
"2012-08-29 00:00","1899-12-30 05:57","1899-12-30 20:15"
"2012-08-30 00:00","1899-12-30 05:59","1899-12-30 20:12"
"2012-08-31 00:00","1899-12-30 06:01","1899-12-30 20:09"
"2012-09-01 00:00","1899-12-30 06:04","1899-12-30 20:06"
"2012-09-02 00:00","1899-12-30 06:06","1899-12-30 20:04"
"2012-09-03 00:00","1899-12-30 06:08","1899-12-30 20:01"
"2012-09-04 00:00","1899-12-30 06:11","1899-12-30 19:58"
"2012-09-05 00:00","1899-12-30 06:13","1899-12-30 19:55"
"2012-09-06 00:00","1899-12-30 06:15","1899-12-30 19:52"
"2012-09-07 00:00","1899-12-30 06:18","1899-12-30 19:49"
"2012-09-08 00:00","1899-12-30 06:20","1899-12-30 19:46"
"2012-09-09 00:00","1899-12-30 06:22","1899-12-30 19:43"
"2012-09-10 00:00","1899-12-30 06:25","1899-12-30 19:40"
"2012-09-11 00:00","1899-12-30 06:27","1899-12-30 19:37"
"2012-09-12 00:00","1899-12-30 06:29","1899-12-30 19:34"
"2012-09-13 00:00","1899-12-30 06:32","1899-12-30 19:31"
"2012-09-14 00:00","1899-12-30 06:34","1899-12-30 19:28"
"2012-09-15 00:00","1899-12-30 06:36","1899-12-30 19:25"
"2012-09-16 00:00","1899-12-30 06:38","1899-12-30 19:22"
"2012-09-17 00:00","1899-12-30 06:41","1899-12-30 19:19"
"2012-09-18 00:00","1899-12-30 06:43","1899-12-30 19:16"
"2012-09-19 00:00","1899-12-30 06:45","1899-12-30 19:13"
"2012-09-20 00:00","1899-12-30 06:48","1899-12-30 19:10"
"2012-09-21 00:00","1899-12-30 06:50","1899-12-30 19:07"
"2012-09-22 00:00","1899-12-30 06:52","1899-12-30 19:04"
"2012-09-23 00:00","1899-12-30 06:55","1899-12-30 19:01"
"2012-09-24 00:00","1899-12-30 06:57","1899-12-30 18:58"
"2012-09-25 00:00","1899-12-30 06:59","1899-12-30 18:55"
"2012-09-26 00:00","1899-12-30 07:02","1899-12-30 18:52"
"2012-09-27 00:00","1899-12-30 07:04","1899-12-30 18:49"
"2012-09-28 00:00","1899-12-30 07:06","1899-12-30 18:46"
"2012-09-29 00:00","1899-12-30 07:08","1899-12-30 18:43"
"2012-09-30 00:00","1899-12-30 07:11","1899-12-30 18:40"
"2012-10-01 00:00","1899-12-30 07:13","1899-12-30 18:37"
"2012-10-02 00:00","1899-12-30 07:16","1899-12-30 18:34"
"2012-10-03 00:00","1899-12-30 07:18","1899-12-30 18:31"
"2012-10-04 00:00","1899-12-30 07:20","1899-12-30 18:28"
"2012-10-05 00:00","1899-12-30 07:23","1899-12-30 18:25"
"2012-10-06 00:00","1899-12-30 07:25","1899-12-30 18:22"
"2012-10-07 00:00","1899-12-30 07:27","1899-12-30 18:19"
"2012-10-08 00:00","1899-12-30 07:30","1899-12-30 18:16"
"2012-10-09 00:00","1899-12-30 07:32","1899-12-30 18:13"
"2012-10-10 00:00","1899-12-30 07:35","1899-12-30 18:10"
"2012-10-11 00:00","1899-12-30 07:37","1899-12-30 18:07"
"2012-10-12 00:00","1899-12-30 07:39","1899-12-30 18:04"
"2012-10-13 00:00","1899-12-30 07:42","1899-12-30 18:02"
"2012-10-14 00:00","1899-12-30 07:44","1899-12-30 17:59"
"2012-10-15 00:00","1899-12-30 07:47","1899-12-30 17:56"
"2012-10-16 00:00","1899-12-30 07:49","1899-12-30 17:53"
"2012-10-17 00:00","1899-12-30 07:51","1899-12-30 17:50"
"2012-10-18 00:00","1899-12-30 07:54","1899-12-30 17:47"
"2012-10-19 00:00","1899-12-30 07:56","1899-12-30 17:45"
"2012-10-20 00:00","1899-12-30 07:59","1899-12-30 17:42"
"2012-10-21 00:00","1899-12-30 08:01","1899-12-30 17:39"
"2012-10-22 00:00","1899-12-30 08:04","1899-12-30 17:36"
"2012-10-23 00:00","1899-12-30 08:06","1899-12-30 17:34"
"2012-10-24 00:00","1899-12-30 08:09","1899-12-30 17:31"
"2012-10-25 00:00","1899-12-30 08:11","1899-12-30 17:28"
"2012-10-26 00:00","1899-12-30 08:14","1899-12-30 17:25"
"2012-10-27 00:00","1899-12-30 08:16","1899-12-30 17:23"
"2012-10-28 00:00","1899-12-30 08:19","1899-12-30 17:20"
"2012-10-29 00:00","1899-12-30 08:21","1899-12-30 17:18"
"2012-10-30 00:00","1899-12-30 08:24","1899-12-30 17:15"
"2012-10-31 00:00","1899-12-30 08:26","1899-12-30 17:12"
"2012-11-01 00:00","1899-12-30 08:29","1899-12-30 17:10"
"2012-11-02 00:00","1899-12-30 08:31","1899-12-30 17:07"
"2012-11-03 00:00","1899-12-30 08:34","1899-12-30 17:05"
"2012-11-04 00:00","1899-12-30 08:36","1899-12-30 17:02"
"2012-11-05 00:00","1899-12-30 08:39","1899-12-30 17:00"
"2012-11-06 00:00","1899-12-30 08:41","1899-12-30 16:58"
"2012-11-07 00:00","1899-12-30 08:44","1899-12-30 16:55"
"2012-11-08 00:00","1899-12-30 08:46","1899-12-30 16:53"
"2012-11-09 00:00","1899-12-30 08:49","1899-12-30 16:50"
"2012-11-10 00:00","1899-12-30 08:51","1899-12-30 16:48"
"2012-11-11 00:00","1899-12-30 08:54","1899-12-30 16:46"
"2012-11-12 00:00","1899-12-30 08:56","1899-12-30 16:44"
"2012-11-13 00:00","1899-12-30 08:59","1899-12-30 16:42"
"2012-11-14 00:00","1899-12-30 09:01","1899-12-30 16:39"
"2012-11-15 00:00","1899-12-30 09:04","1899-12-30 16:37"
"2012-11-16 00:00","1899-12-30 09:06","1899-12-30 16:35"
"2012-11-17 00:00","1899-12-30 09:09","1899-12-30 16:33"
"2012-11-18 00:00","1899-12-30 09:11","1899-12-30 16:31"
"2012-11-19 00:00","1899-12-30 09:13","1899-12-30 16:29"
"2012-11-20 00:00","1899-12-30 09:16","1899-12-30 16:28"
"2012-11-21 00:00","1899-12-30 09:18","1899-12-30 16:26"
"2012-11-22 00:00","1899-12-30 09:20","1899-12-30 16:24"
"2012-11-23 00:00","1899-12-30 09:23","1899-12-30 16:22"
"2012-11-24 00:00","1899-12-30 09:25","1899-12-30 16:21"
"2012-11-25 00:00","1899-12-30 09:27","1899-12-30 16:19"
"2012-11-26 00:00","1899-12-30 09:29","1899-12-30 16:18"
"2012-11-27 00:00","1899-12-30 09:32","1899-12-30 16:16"
"2012-11-28 00:00","1899-12-30 09:34","1899-12-30 16:15"
"2012-11-29 00:00","1899-12-30 09:36","1899-12-30 16:13"
"2012-11-30 00:00","1899-12-30 09:38","1899-12-30 16:12"
"2012-12-01 00:00","1899-12-30 09:40","1899-12-30 16:11"
"2012-12-02 00:00","1899-12-30 09:42","1899-12-30 16:10"
"2012-12-03 00:00","1899-12-30 09:44","1899-12-30 16:09"
"2012-12-04 00:00","1899-12-30 09:45","1899-12-30 16:08"
"2012-12-05 00:00","1899-12-30 09:47","1899-12-30 16:07"
"2012-12-06 00:00","1899-12-30 09:49","1899-12-30 16:06"
"2012-12-07 00:00","1899-12-30 09:50","1899-12-30 16:05"
"2012-12-08 00:00","1899-12-30 09:52","1899-12-30 16:05"
"2012-12-09 00:00","1899-12-30 09:53","1899-12-30 16:04"
"2012-12-10 00:00","1899-12-30 09:55","1899-12-30 16:04"
"2012-12-11 00:00","1899-12-30 09:56","1899-12-30 16:03"
"2012-12-12 00:00","1899-12-30 09:57","1899-12-30 16:03"
"2012-12-13 00:00","1899-12-30 09:59","1899-12-30 16:03"
"2012-12-14 00:00","1899-12-30 10:00","1899-12-30 16:03"
"2012-12-15 00:00","1899-12-30 10:01","1899-12-30 16:03"
"2012-12-16 00:00","1899-12-30 10:02","1899-12-30 16:03"
"2012-12-17 00:00","1899-12-30 10:03","1899-12-30 16:03"
"2012-12-18 00:00","1899-12-30 10:03","1899-12-30 16:03"
"2012-12-19 00:00","1899-12-30 10:04","1899-12-30 16:03"
"2012-12-20 00:00","1899-12-30 10:05","1899-12-30 16:04"
"2012-12-21 00:00","1899-12-30 10:05","1899-12-30 16:04"
"2012-12-22 00:00","1899-12-30 10:06","1899-12-30 16:05"
"2012-12-23 00:00","1899-12-30 10:06","1899-12-30 16:06"
"2012-12-24 00:00","1899-12-30 10:06","1899-12-30 16:06"
"2012-12-25 00:00","1899-12-30 10:06","1899-12-30 16:07"
"2012-12-26 00:00","1899-12-30 10:06","1899-12-30 16:08"
"2012-12-27 00:00","1899-12-30 10:06","1899-12-30 16:09"
"2012-12-28 00:00","1899-12-30 10:06","1899-12-30 16:10"
"2012-12-29 00:00","1899-12-30 10:06","1899-12-30 16:11"
"2012-12-30 00:00","1899-12-30 10:06","1899-12-30 16:13"
"2012-12-31 00:00","1899-12-30 10:05","1899-12-30 16:14"
"2013-01-01 00:00","1899-12-30 10:05","1899-12-30 16:16"
"2013-01-02 00:00","1899-12-30 10:04","1899-12-30 16:17"
"2013-01-03 00:00","1899-12-30 10:04","1899-12-30 16:19"
"2013-01-04 00:00","1899-12-30 10:03","1899-12-30 16:20"
"2013-01-05 00:00","1899-12-30 10:02","1899-12-30 16:22"
"2013-01-06 00:00","1899-12-30 10:01","1899-12-30 16:24"
"2013-01-07 00:00","1899-12-30 10:00","1899-12-30 16:26"
"2013-01-08 00:00","1899-12-30 09:59","1899-12-30 16:27"
"2013-01-09 00:00","1899-12-30 09:58","1899-12-30 16:29"
"2013-01-10 00:00","1899-12-30 09:57","1899-12-30 16:31"
"2013-01-11 00:00","1899-12-30 09:56","1899-12-30 16:33"
"2013-01-12 00:00","1899-12-30 09:55","1899-12-30 16:36"
"2013-01-13 00:00","1899-12-30 09:53","1899-12-30 16:38"
"2013-01-14 00:00","1899-12-30 09:52","1899-12-30 16:40"
"2013-01-15 00:00","1899-12-30 09:50","1899-12-30 16:42"
"2013-01-16 00:00","1899-12-30 09:49","1899-12-30 16:44"
"2013-01-17 00:00","1899-12-30 09:47","1899-12-30 16:47"
"2013-01-18 00:00","1899-12-30 09:45","1899-12-30 16:49"
"2013-01-19 00:00","1899-12-30 09:44","1899-12-30 16:51"
"2013-01-20 00:00","1899-12-30 09:42","1899-12-30 16:54"
"2013-01-21 00:00","1899-12-30 09:40","1899-12-30 16:56"
"2013-01-22 00:00","1899-12-30 09:38","1899-12-30 16:59"
"2013-01-23 00:00","1899-12-30 09:36","1899-12-30 17:01"
"2013-01-24 00:00","1899-12-30 09:34","1899-12-30 17:03"
"2013-01-25 00:00","1899-12-30 09:32","1899-12-30 17:06"
"2013-01-26 00:00","1899-12-30 09:30","1899-12-30 17:08"
"2013-01-27 00:00","1899-12-30 09:28","1899-12-30 17:11"
"2013-01-28 00:00","1899-12-30 09:26","1899-12-30 17:13"
"2013-01-29 00:00","1899-12-30 09:24","1899-12-30 17:16"
"2013-01-30 00:00","1899-12-30 09:21","1899-12-30 17:19"
"2013-01-31 00:00","1899-12-30 09:19","1899-12-30 17:21"
"2013-02-01 00:00","1899-12-30 09:17","1899-12-30 17:24"
"2013-02-02 00:00","1899-12-30 09:14","1899-12-30 17:26"
