FID,Date,Time,POINT_X,POINT_Y,Class,Video_file,Subst_Orig,Subst_Cla,Sub_Subcl,Sub_Grp,Sub_Subgr,CMECS,Modifier,CMECSMod,Co_oc_el1,CMECS_1,Modifier_1,CMECSMod1,Co_oc_el2,CMECS_2,Modifier_2,CMECSMod2,Co_oc_el3,CMECS_3,Modifier_3,CMECSMod3,Co_oc_el4,CMECS_4,Modifier_4,CMECSMod4,Site_ID,Video_file_1,Boulder,Cobble,Pebble,Gravel,Shell,Sand,Mud,Kelp,Macroalgae,Filamentous_microalgae,Coralline_algae,Seagrass,Crab,Sponge,Sea_pen,Anemone,Sea_star,Urchin,Bryozoan,Tunicate,Nudibranch,Polychaete,Octopus,Clam_siphons,FID_1,Date_1,Time_1,POINT_X_1,POINT_Y_1,Class_1,Video_file_12,Subst_Orig_1,Subst_Cla_1,Sub_Subcl_1,Sub_Grp_1,Sub_Subgr_1,CMECS_12,Modifier_12,CMECSMod_1,Co_oc_el1_1,CMECS_12_13,Modifier_12_13,CMECSMod1_1,Co_oc_el2_1,CMECS_23,Modifier_23,CMECSMod2_1,Co_oc_el3_1,CMECS_34,Modifier_34,CMECSMod3_1,Co_oc_el4_1,CMECS_45,Modifier_45,CMECSMod4_1,Site_ID_1,Depth,Otters
16,7/13/2016 0:00,8:57 AM,-151.6228307,59.50635164,"mud, shell 0-<10%",KBAY_2016_07_13_086_clip-4.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_86,KBAY_2016_07_13_086_clip-4.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7/13/2016 0:00,8:57 AM,-151.6228307,59.50635164,"mud, shell 0-<10%",KBAY_2016_07_13_086_clip-4.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_86,-101.1913605,1
18,7/17/2016 0:00,11:31 AM,-151.0713589,59.74315607,"mud, shell 0%, macroalgae 0-<10%",KBAY_2016_07_17_101_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_101,KBAY_2016_07_17_101_clip-1.mp4,0,0,0,0,0,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7/17/2016 0:00,11:31 AM,-151.0713589,59.74315607,"mud, shell 0%, macroalgae 0-<10%",KBAY_2016_07_17_101_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_101,-21.05759621,1
19,7/17/2016 0:00,10:43 AM,-151.1080199,59.73677727,"mud, shell 0%",KBAY_2016_07_17_102_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_102,KBAY_2016_07_17_102_clip-2.mp4,0,0,0,0,10,0,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,7/17/2016 0:00,10:43 AM,-151.1080199,59.73677727,"mud, shell 0%",KBAY_2016_07_17_102_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_102,-29.27565956,1
20,7/17/2016 0:00,12:33 PM,-151.041097,59.73111072,"mud, shell 0-<10%",KBAY_2016_07_17_106_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_106,KBAY_2016_07_17_106_clip-3.mp4,0,0,0,0,10,0,90,10,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,7/17/2016 0:00,12:33 PM,-151.041097,59.73111072,"mud, shell 0-<10%",KBAY_2016_07_17_106_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_106,-11.99877834,1
21,7/17/2016 0:00,11:02 AM,-151.0786074,59.73689702,"mud, shell 0%",KBAY_2016_07_17_109_clip-4.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_109,KBAY_2016_07_17_109_clip-4.mp4,0,0,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7/17/2016 0:00,11:02 AM,-151.0786074,59.73689702,"mud, shell 0%",KBAY_2016_07_17_109_clip-4.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_109,-38.07388306,1
22,7/17/2016 0:00,1:24 PM,-151.0283728,59.72281508,"mud, shell 50-<90%, macroalgae 0-<10%",KBAY_2016_07_17_112_clip-5.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06, , , , ,2016_112,KBAY_2016_07_17_112_clip-5.mp4,0,20,10,0,50,0,20,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7/17/2016 0:00,1:24 PM,-151.0283728,59.72281508,"mud, shell 50-<90%, macroalgae 0-<10%",KBAY_2016_07_17_112_clip-5.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06, , , , ,2016_112,-4.720394611,1
23,7/17/2016 0:00,10:35 AM,-151.1203201,59.73027053,"mud, shell 0%",KBAY_2016_07_17_113_clip-6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_113,KBAY_2016_07_17_113_clip-6.mp4,0,0,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7/17/2016 0:00,10:35 AM,-151.1203201,59.73027053,"mud, shell 0%",KBAY_2016_07_17_113_clip-6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_113,-37.85114288,1
24,7/17/2016 0:00,2:07 PM,-151.0765417,59.72243609,"mud, shell 10-<50%, cobble/gravel 10-<50%, macroalgae 10-<50%, microalgae 10-<50%",KBAY_2016_07_17_115_clip-7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06,2016_115,KBAY_2016_07_17_115_clip-7.mp4,0,10,20,0,40,0,30,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7/17/2016 0:00,2:07 PM,-151.0765417,59.72243609,"mud, shell 10-<50%, cobble/gravel 10-<50%, macroalgae 10-<50%, microalgae 10-<50%",KBAY_2016_07_17_115_clip-7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06,2016_115,-4.900000095,1
25,7/17/2016 0:00,11:50 AM,-151.0536076,59.74447749,"mud, shell 0%, macroalgae 10-<50%",KBAY_2016_07_17_118_clip-8.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_118,KBAY_2016_07_17_118_clip-8.mp4,0,0,0,0,0,0,100,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,7/17/2016 0:00,11:50 AM,-151.0536076,59.74447749,"mud, shell 0%, macroalgae 10-<50%",KBAY_2016_07_17_118_clip-8.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_118,-14.45132732,1
26,7/17/2016 0:00,12:53 PM,-151.0362848,59.7208616,"mud, shell 10-<50%, macroalgae 10-<50%, microalgae 50-<90%",KBAY_2016_07_17_119_clip-9.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.3.2.2,Percent Cover 50% - <90%,PC07-PC10, , , , ,2016_119,KBAY_2016_07_17_119_clip-9.mp4,0,5,0,0,80,0,20,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7/17/2016 0:00,12:53 PM,-151.0362848,59.7208616,"mud, shell 10-<50%, macroalgae 10-<50%, microalgae 50-<90%",KBAY_2016_07_17_119_clip-9.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.3.2.2,Percent Cover 50% - <90%,PC07-PC10, , , , ,2016_119,-6.463759422,1
27,7/18/2016 0:00,3:54 PM,-151.4010885,59.50676281,"cobble/gravel 50-<90%, shell 10-<50%",KBAY_2016_07_18_GOPR0_126_clip-7.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_126,KBAY_2016_07_18_GOPR0_126_clip-7.mp4,0,50,30,0,20,0,0,0,0,5,10,0,0,0,0,2,1,0,0,0,0,0,0,0,27,7/18/2016 0:00,3:54 PM,-151.4010885,59.50676281,"cobble/gravel 50-<90%, shell 10-<50%",KBAY_2016_07_18_GOPR0_126_clip-7.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_126,-24.55284882,1
28,7/10/2016 0:00,2:58 PM,-151.7136495,59.47803156,"boulder/cobble/gravel 50-<90%, shell 10-<50%, macroalgae 50-<90%",KBAY_2016_07_10_134_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , ,2016_134,KBAY_2016_07_10_134_clip-2.mp4,70,20,0,0,10,0,0,50,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7/10/2016 0:00,2:58 PM,-151.7136495,59.47803156,"boulder/cobble/gravel 50-<90%, shell 10-<50%, macroalgae 50-<90%",KBAY_2016_07_10_134_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , ,2016_134,-11.69418907,1
30,7/16/2016 0:00,3:11 PM,-151.1897224,59.59909224,"mud, shell 0-<10%",KBAY_2016_07_16_GOPR0_140_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_140,KBAY_2016_07_16_GOPR0_140_clip-3.mp4,0,0,0,0,10,0,90,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,30,7/16/2016 0:00,3:11 PM,-151.1897224,59.59909224,"mud, shell 0-<10%",KBAY_2016_07_16_GOPR0_140_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_140,-22.70140076,1
31,7/12/2016 0:00,12:42 PM,-151.4199585,59.55204205,"mud, shell 50-<90%, macroalgae 0-<10%",KBAY_2016_07_12_142_clip-11.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_142,KBAY_2016_07_12_142_clip-11.mp4,0,0,0,0,50,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7/12/2016 0:00,12:42 PM,-151.4199585,59.55204205,"mud, shell 50-<90%, macroalgae 0-<10%",KBAY_2016_07_12_142_clip-11.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_142,-11.93775654,1
34,7/11/2016 0:00,3:22 PM,-151.8307455,59.44314601,"boulder/cobble/gravel 50-<90%, shell 10-<50%, macroalgae 10-<50%",KBAY_2016_07_11_148_clip-8.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , ,2016_148,KBAY_2016_07_11_148_clip-8.mp4,60,0,0,0,20,20,0,20,10,0,20,0,0,0,0,1,2,0,0,0,0,0,0,0,34,7/11/2016 0:00,3:22 PM,-151.8307455,59.44314601,"boulder/cobble/gravel 50-<90%, shell 10-<50%, macroalgae 10-<50%",KBAY_2016_07_11_148_clip-8.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , ,2016_148,-22.4110775,1
35,7/10/2016 0:00,3:06 PM,-151.7068975,59.47404223,"boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2016_07_10_150_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11, , , , , , , , ,2016_150,KBAY_2016_07_10_150_clip-3.mp4,100,0,0,0,0,0,0,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7/10/2016 0:00,3:06 PM,-151.7068975,59.47404223,"boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2016_07_10_150_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11, , , , , , , , ,2016_150,-9.124331474,1
